Delta_with_1_last_read_pattern,Delta_with_1_last_read_most_frequent_delta,Delta_with_1_last_read_mean_abs_delta,Delta_with_1_last_read_n_stride_changes,Delta_with_1_last_write_pattern,Delta_with_1_last_write_most_frequent_delta,Delta_with_1_last_write_mean_abs_delta,Delta_with_1_last_write_n_stride_changes,Delta_with_2_last_read_pattern,Delta_with_2_last_read_most_frequent_delta,Delta_with_2_last_read_mean_abs_delta,Delta_with_2_last_read_n_stride_changes,Delta_with_2_last_write_pattern,Delta_with_2_last_write_most_frequent_delta,Delta_with_2_last_write_mean_abs_delta,Delta_with_2_last_write_n_stride_changes,Delta_with_3_last_read_pattern,Delta_with_3_last_read_most_frequent_delta,Delta_with_3_last_read_mean_abs_delta,Delta_with_3_last_read_n_stride_changes,Delta_with_3_last_write_pattern,Delta_with_3_last_write_most_frequent_delta,Delta_with_3_last_write_mean_abs_delta,Delta_with_3_last_write_n_stride_changes,Delta_with_1_next_read_pattern,Delta_with_1_next_read_most_frequent_delta,Delta_with_1_next_read_mean_abs_delta,Delta_with_1_next_read_n_stride_changes,Delta_with_1_next_write_pattern,Delta_with_1_next_write_most_frequent_delta,Delta_with_1_next_write_mean_abs_delta,Delta_with_1_next_write_n_stride_changes,Delta_with_2_next_read_pattern,Delta_with_2_next_read_most_frequent_delta,Delta_with_2_next_read_mean_abs_delta,Delta_with_2_next_read_n_stride_changes,Delta_with_2_next_write_pattern,Delta_with_2_next_write_most_frequent_delta,Delta_with_2_next_write_mean_abs_delta,Delta_with_2_next_write_n_stride_changes,Delta_with_3_next_read_pattern,Delta_with_3_next_read_most_frequent_delta,Delta_with_3_next_read_mean_abs_delta,Delta_with_3_next_read_n_stride_changes,Delta_with_3_next_write_pattern,Delta_with_3_next_write_most_frequent_delta,Delta_with_3_next_write_mean_abs_delta,Delta_with_3_next_write_n_stride_changes,code_segment_transitions,n_reads,n_writes,dominant_type_subsequence,entropy_of_addresses,entropy_of_pc
"0.0,292.0,-296.0,0.0,4.0,0.0,0.0,0.0",0,74.0,2,"0.0,292.0,-4.0,-4.0,4.0,4.0,0.0,0.0",0,38.5,2,"4.0,292.0,-4.0,-4.0,-292.0,-292.0,4.0,4.0",4,112.0,2,"4.0,296.0,0.0,0.0,4.0,0.0,0.0,4.0",0,38.5,0,"-288.0,4.0,0.0,-4.0,0.0,0.0,0.0,-292.0",0,73.5,2,"4.0,292.0,-4.0,-4.0,0.0,0.0,4.0,4.0",4,39.0,2,"292.0,-296.0,4.0,4.0,0.0,0.0,0.0,296.0",0,111.5,2,"-4.0,-296.0,0.0,4.0,0.0,-4.0,-4.0,-4.0",-4,39.5,2,"0.0,-292.0,4.0,4.0,0.0,296.0,-4.0,0.0",0,75.0,2,"0.0,-292.0,0.0,0.0,0.0,0.0,0.0,0.0",0,36.5,0,"0.0,-292.0,300.0,300.0,-4.0,0.0,0.0,0.0",0,112.0,2,"-4.0,-292.0,4.0,0.0,-4.0,-4.0,-4.0,-4.0",-4,39.5,2,0,6,2,R (6),1.2987949406953985,2.25
"296.0,-300.0,0.0,4.0,0.0,0.0,0.0,300.0",0,112.5,2,"296.0,-4.0,-4.0,4.0,4.0,0.0,0.0,300.0",-4,76.5,2,"296.0,-4.0,-4.0,-296.0,-296.0,4.0,4.0,300.0",-4,150.5,2,"300.0,0.0,0.0,4.0,0.0,0.0,4.0,304.0",0,76.5,0,"4.0,0.0,-4.0,0.0,0.0,0.0,-296.0,4.0",0,38.5,2,"296.0,-4.0,-4.0,0.0,0.0,4.0,4.0,300.0",-4,76.5,2,"-300.0,4.0,4.0,0.0,0.0,0.0,300.0,-304.0",0,114.0,2,"-300.0,0.0,4.0,0.0,-4.0,-4.0,-4.0,-304.0",-4,77.5,2,"-296.0,4.0,4.0,0.0,300.0,-4.0,0.0,-300.0",4,113.5,2,"-296.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0",0,74.5,0,"-296.0,304.0,304.0,-4.0,0.0,0.0,0.0,-300.0",0,151.0,2,"-296.0,4.0,0.0,-4.0,-4.0,-4.0,-4.0,-300.0",-4,77.0,2,0,6,2,R (6),1.75,2.25
"-304.0,0.0,4.0,0.0,0.0,0.0,304.0,-308.0",0,115.0,2,"-4.0,-4.0,4.0,4.0,0.0,0.0,304.0,-4.0",-4,40.5,2,"-4.0,-4.0,-300.0,-300.0,4.0,4.0,304.0,-4.0",-4,115.5,2,"0.0,0.0,4.0,0.0,0.0,4.0,308.0,0.0",0,39.5,0,"0.0,-4.0,0.0,0.0,0.0,-300.0,4.0,0.0",0,38.5,1,"-4.0,-4.0,0.0,0.0,4.0,4.0,304.0,-4.0",-4,40.5,2,"4.0,4.0,0.0,0.0,0.0,304.0,-308.0,4.0",4,78.0,2,"0.0,4.0,0.0,-4.0,-4.0,-4.0,-308.0,0.0",0,40.5,1,"4.0,4.0,0.0,304.0,-4.0,0.0,-304.0,4.0",4,78.0,2,"0.0,0.0,0.0,0.0,0.0,0.0,-304.0,0.0",0,38.0,0,"308.0,308.0,-4.0,0.0,0.0,0.0,-304.0,312.0",0,154.5,2,"4.0,0.0,-4.0,-4.0,-4.0,-4.0,-304.0,4.0",-4,41.0,2,0,6,2,R (6),1.4056390622295665,2.1556390622295662
"0.0,4.0,0.0,0.0,0.0,308.0,-312.0,0.0",0,78.0,1,"-4.0,4.0,4.0,0.0,0.0,308.0,-4.0,-4.0",-4,41.0,2,"-4.0,-304.0,-304.0,4.0,4.0,308.0,-4.0,-4.0",-4,117.0,2,"0.0,4.0,0.0,0.0,4.0,312.0,0.0,0.0",0,40.0,0,"-4.0,0.0,0.0,0.0,-304.0,4.0,0.0,-4.0",0,39.5,2,"-4.0,0.0,0.0,4.0,4.0,308.0,-4.0,-4.0",-4,41.0,2,"4.0,0.0,0.0,0.0,308.0,-312.0,4.0,4.0",4,79.0,2,"4.0,0.0,-4.0,-4.0,-4.0,-312.0,0.0,4.0",-4,41.5,2,"4.0,0.0,308.0,-4.0,0.0,-308.0,4.0,4.0",4,79.0,2,"0.0,0.0,0.0,0.0,0.0,-308.0,0.0,0.0",0,38.5,0,"312.0,-4.0,0.0,0.0,0.0,-308.0,316.0,316.0",0,157.0,2,"0.0,-4.0,-4.0,-4.0,-4.0,-308.0,4.0,0.0",-4,41.0,1,0,5,3,R (5),1.4056390622295665,2.1556390622295662
"4.0,0.0,0.0,0.0,312.0,-316.0,0.0,4.0",0,79.5,2,"4.0,4.0,0.0,0.0,312.0,-4.0,-4.0,4.0",4,41.5,2,"-308.0,-308.0,4.0,4.0,312.0,-4.0,-4.0,-312.0",-308,157.0,2,"4.0,0.0,0.0,4.0,316.0,0.0,0.0,4.0",0,41.0,0,"0.0,0.0,0.0,-308.0,4.0,0.0,-4.0,0.0",0,39.5,2,"0.0,0.0,4.0,4.0,312.0,-4.0,-4.0,0.0",0,41.0,1,"0.0,0.0,0.0,312.0,-316.0,4.0,4.0,0.0",0,79.5,2,"0.0,-4.0,-4.0,-4.0,-316.0,0.0,4.0,0.0",0,41.5,1,"0.0,312.0,-4.0,0.0,-312.0,4.0,4.0,0.0",0,79.5,2,"0.0,0.0,0.0,0.0,-312.0,0.0,0.0,0.0",0,39.0,0,"-4.0,0.0,0.0,0.0,-312.0,320.0,320.0,-4.0",0,120.0,2,"-4.0,-4.0,-4.0,-4.0,-312.0,4.0,0.0,-4.0",-4,42.0,2,0,6,2,R (6),1.2987949406953985,2.1556390622295662
"0.0,0.0,0.0,316.0,-320.0,0.0,4.0,0.0",0,80.0,2,"4.0,0.0,0.0,316.0,-4.0,-4.0,4.0,4.0",4,42.0,2,"-312.0,4.0,4.0,316.0,-4.0,-4.0,-316.0,-316.0",4,159.5,2,"0.0,0.0,4.0,320.0,0.0,0.0,4.0,0.0",0,41.0,0,"0.0,0.0,-312.0,4.0,0.0,-4.0,0.0,0.0",0,40.0,2,"0.0,4.0,4.0,316.0,-4.0,-4.0,0.0,0.0",0,41.5,1,"0.0,0.0,316.0,-320.0,4.0,4.0,0.0,0.0",0,80.5,2,"-4.0,-4.0,-4.0,-320.0,0.0,4.0,0.0,-4.0",-4,42.5,2,"316.0,-4.0,0.0,-316.0,4.0,4.0,0.0,320.0",0,120.5,2,"0.0,0.0,0.0,-316.0,0.0,0.0,0.0,0.0",0,39.5,0,"0.0,0.0,0.0,-316.0,324.0,324.0,-4.0,0.0",0,121.0,2,"-4.0,-4.0,-4.0,-316.0,4.0,0.0,-4.0,-4.0",-4,42.5,2,0,5,3,R (5),1.2987949406953985,2.1556390622295662
"0.0,0.0,320.0,-324.0,0.0,4.0,0.0,0.0",0,81.0,2,"0.0,0.0,320.0,-4.0,-4.0,4.0,4.0,0.0",0,42.0,2,"4.0,4.0,320.0,-4.0,-4.0,-320.0,-320.0,4.0",4,122.5,2,"0.0,4.0,324.0,0.0,0.0,4.0,0.0,0.0",0,41.5,0,"0.0,-316.0,4.0,0.0,-4.0,0.0,0.0,0.0",0,40.5,2,"4.0,4.0,320.0,-4.0,-4.0,0.0,0.0,4.0",4,42.5,2,"0.0,320.0,-324.0,4.0,4.0,0.0,0.0,0.0",0,81.5,2,"-4.0,-4.0,-324.0,0.0,4.0,0.0,-4.0,-4.0",-4,43.0,2,"-4.0,0.0,-320.0,4.0,4.0,0.0,324.0,-4.0",-4,82.5,2,"0.0,0.0,-320.0,0.0,0.0,0.0,0.0,0.0",0,40.0,0,"0.0,0.0,-320.0,328.0,328.0,-4.0,0.0,0.0",0,122.5,2,"-4.0,-4.0,-320.0,4.0,0.0,-4.0,-4.0,-4.0",-4,43.0,2,0,6,2,R (6),1.2987949406953985,2.25
"0.0,324.0,-328.0,0.0,4.0,0.0,0.0,0.0",0,82.0,2,"0.0,324.0,-4.0,-4.0,4.0,4.0,0.0,0.0",0,42.5,2,"4.0,324.0,-4.0,-4.0,-324.0,-324.0,4.0,4.0",4,124.0,2,"4.0,328.0,0.0,0.0,4.0,0.0,0.0,4.0",0,42.5,0,"-320.0,4.0,0.0,-4.0,0.0,0.0,0.0,-324.0",0,81.5,2,"4.0,324.0,-4.0,-4.0,0.0,0.0,4.0,4.0",4,43.0,2,"324.0,-328.0,4.0,4.0,0.0,0.0,0.0,328.0",0,123.5,2,"-4.0,-328.0,0.0,4.0,0.0,-4.0,-4.0,-4.0",-4,43.5,2,"0.0,-324.0,4.0,4.0,0.0,328.0,-4.0,0.0",0,83.0,2,"0.0,-324.0,0.0,0.0,0.0,0.0,0.0,0.0",0,40.5,0,"0.0,-324.0,332.0,332.0,-4.0,0.0,0.0,0.0",0,124.0,2,"-4.0,-324.0,4.0,0.0,-4.0,-4.0,-4.0,-4.0",-4,43.5,2,0,6,2,R (6),1.2987949406953985,2.25
"328.0,-332.0,0.0,4.0,0.0,0.0,0.0,332.0",0,124.5,2,"328.0,-4.0,-4.0,4.0,4.0,0.0,0.0,332.0",-4,84.5,2,"328.0,-4.0,-4.0,-328.0,-328.0,4.0,4.0,332.0",-4,166.5,2,"332.0,0.0,0.0,4.0,0.0,0.0,4.0,336.0",0,84.5,0,"4.0,0.0,-4.0,0.0,0.0,0.0,-328.0,4.0",0,42.5,2,"328.0,-4.0,-4.0,0.0,0.0,4.0,4.0,332.0",-4,84.5,2,"-332.0,4.0,4.0,0.0,0.0,0.0,332.0,-336.0",0,126.0,2,"-332.0,0.0,4.0,0.0,-4.0,-4.0,-4.0,-336.0",-4,85.5,2,"-328.0,4.0,4.0,0.0,332.0,-4.0,0.0,-332.0",4,125.5,2,"-328.0,0.0,0.0,0.0,0.0,0.0,0.0,-332.0",0,82.5,0,"-328.0,336.0,336.0,-4.0,0.0,0.0,0.0,-332.0",0,167.0,2,"-328.0,4.0,0.0,-4.0,-4.0,-4.0,-4.0,-332.0",-4,85.0,2,0,6,2,R (6),1.75,2.25
"-336.0,0.0,4.0,0.0,0.0,0.0,336.0,-340.0",0,127.0,2,"-4.0,-4.0,4.0,4.0,0.0,0.0,336.0,-4.0",-4,44.5,2,"-4.0,-4.0,-332.0,-332.0,4.0,4.0,336.0,-4.0",-4,127.5,2,"0.0,0.0,4.0,0.0,0.0,4.0,340.0,0.0",0,43.5,0,"0.0,-4.0,0.0,0.0,0.0,-332.0,4.0,0.0",0,42.5,1,"-4.0,-4.0,0.0,0.0,4.0,4.0,336.0,-4.0",-4,44.5,2,"4.0,4.0,0.0,0.0,0.0,336.0,-340.0,4.0",4,86.0,2,"0.0,4.0,0.0,-4.0,-4.0,-4.0,-340.0,0.0",0,44.5,1,"4.0,4.0,0.0,336.0,-4.0,0.0,-336.0,4.0",4,86.0,2,"0.0,0.0,0.0,0.0,0.0,0.0,-336.0,0.0",0,42.0,0,"340.0,340.0,-4.0,0.0,0.0,0.0,-336.0,344.0",0,170.5,2,"4.0,0.0,-4.0,-4.0,-4.0,-4.0,-336.0,4.0",-4,45.0,2,0,6,2,R (6),1.4056390622295665,2.1556390622295662
