Delta_with_1_last_read_pattern,Delta_with_1_last_read_most_frequent_delta,Delta_with_1_last_read_mean_abs_delta,Delta_with_1_last_read_n_stride_changes,Delta_with_1_last_write_pattern,Delta_with_1_last_write_most_frequent_delta,Delta_with_1_last_write_mean_abs_delta,Delta_with_1_last_write_n_stride_changes,Delta_with_2_last_read_pattern,Delta_with_2_last_read_most_frequent_delta,Delta_with_2_last_read_mean_abs_delta,Delta_with_2_last_read_n_stride_changes,Delta_with_2_last_write_pattern,Delta_with_2_last_write_most_frequent_delta,Delta_with_2_last_write_mean_abs_delta,Delta_with_2_last_write_n_stride_changes,Delta_with_3_last_read_pattern,Delta_with_3_last_read_most_frequent_delta,Delta_with_3_last_read_mean_abs_delta,Delta_with_3_last_read_n_stride_changes,Delta_with_3_last_write_pattern,Delta_with_3_last_write_most_frequent_delta,Delta_with_3_last_write_mean_abs_delta,Delta_with_3_last_write_n_stride_changes,Delta_with_1_next_read_pattern,Delta_with_1_next_read_most_frequent_delta,Delta_with_1_next_read_mean_abs_delta,Delta_with_1_next_read_n_stride_changes,Delta_with_1_next_write_pattern,Delta_with_1_next_write_most_frequent_delta,Delta_with_1_next_write_mean_abs_delta,Delta_with_1_next_write_n_stride_changes,Delta_with_2_next_read_pattern,Delta_with_2_next_read_most_frequent_delta,Delta_with_2_next_read_mean_abs_delta,Delta_with_2_next_read_n_stride_changes,Delta_with_2_next_write_pattern,Delta_with_2_next_write_most_frequent_delta,Delta_with_2_next_write_mean_abs_delta,Delta_with_2_next_write_n_stride_changes,Delta_with_3_next_read_pattern,Delta_with_3_next_read_most_frequent_delta,Delta_with_3_next_read_mean_abs_delta,Delta_with_3_next_read_n_stride_changes,Delta_with_3_next_write_pattern,Delta_with_3_next_write_most_frequent_delta,Delta_with_3_next_write_mean_abs_delta,Delta_with_3_next_write_n_stride_changes,code_segment_transitions,n_reads,n_writes,dominant_type_subsequence,entropy_of_addresses,entropy_of_pc
"0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0",0,7.5,0,"-56.0,-56.0,0.0,0.0,0.0,60.0,-60.0,-60.0",0,36.5,2,"0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0",0,7.5,0,"-52.0,0.0,0.0,-56.0,-56.0,4.0,-56.0,0.0",0,28.0,2,"0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0",0,7.5,0,"0.0,0.0,-52.0,-52.0,0.0,60.0,0.0,0.0",0,20.5,1,"0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0",0,7.5,0,"0.0,60.0,60.0,60.0,60.0,-60.0,0.0,64.0",60,45.5,2,"0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0",0,7.5,0,"0.0,0.0,0.0,0.0,64.0,4.0,0.0,0.0",0,8.5,0,"0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0",0,7.5,0,"64.0,64.0,64.0,0.0,0.0,8.0,68.0,68.0",64,42.0,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0",0,8.0,0,"0.0,0.0,0.0,64.0,-64.0,-64.0,0.0,0.0",0,24.0,1,"0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0",0,8.0,0,"0.0,-60.0,-60.0,4.0,-60.0,0.0,0.0,-64.0",0,31.0,2,"0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0",0,8.0,0,"-56.0,-56.0,0.0,64.0,0.0,0.0,-60.0,-60.0",0,37.0,2,"0.0,0.0,0.0,-64.0,0.0,0.0,0.0,0.0",0,8.0,0,"64.0,64.0,64.0,-64.0,0.0,68.0,68.0,68.0",64,57.5,2,"0.0,0.0,0.0,-64.0,0.0,0.0,0.0,0.0",0,8.0,0,"0.0,0.0,68.0,4.0,0.0,0.0,0.0,0.0",0,9.0,0,"0.0,0.0,0.0,-64.0,0.0,0.0,0.0,0.0",0,8.0,0,"68.0,0.0,0.0,8.0,72.0,72.0,72.0,0.0",0,36.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,68.0,0.0,0.0,0.0,0.0,0.0,72.0",0,17.5,0,"0.0,68.0,-68.0,-68.0,0.0,0.0,0.0,72.0",0,34.5,2,"0.0,68.0,0.0,0.0,0.0,0.0,0.0,72.0",0,17.5,0,"-64.0,4.0,-64.0,0.0,0.0,-68.0,-68.0,4.0",-64,34.0,3,"0.0,68.0,0.0,0.0,0.0,0.0,0.0,72.0",0,17.5,0,"0.0,68.0,0.0,0.0,-64.0,-64.0,0.0,72.0",0,33.5,2,"0.0,-68.0,0.0,0.0,0.0,0.0,0.0,-72.0",0,17.5,0,"68.0,-68.0,0.0,72.0,72.0,72.0,72.0,-72.0",72,62.0,3,"0.0,-68.0,0.0,0.0,0.0,0.0,0.0,-72.0",0,17.5,0,"72.0,4.0,0.0,0.0,0.0,0.0,76.0,4.0",0,19.5,0,"0.0,-68.0,0.0,0.0,0.0,0.0,0.0,-72.0",0,17.5,0,"0.0,8.0,76.0,76.0,76.0,0.0,0.0,8.0",0,30.5,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0",0,9.5,0,"-72.0,-72.0,0.0,0.0,0.0,76.0,-76.0,-76.0",0,46.5,2,"0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0",0,9.5,0,"-68.0,0.0,0.0,-72.0,-72.0,4.0,-72.0,0.0",0,36.0,2,"0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0",0,9.5,0,"0.0,0.0,-68.0,-68.0,0.0,76.0,0.0,0.0",0,26.5,1,"0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0",0,9.5,0,"0.0,76.0,76.0,76.0,76.0,-76.0,0.0,80.0",76,57.5,2,"0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0",0,9.5,0,"0.0,0.0,0.0,0.0,80.0,4.0,0.0,0.0",0,10.5,0,"0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0",0,9.5,0,"80.0,80.0,80.0,0.0,0.0,8.0,84.0,84.0",80,52.0,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0",0,10.0,0,"0.0,0.0,0.0,80.0,-80.0,-80.0,0.0,0.0",0,30.0,1,"0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0",0,10.0,0,"0.0,-76.0,-76.0,4.0,-76.0,0.0,0.0,-80.0",0,39.0,2,"0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0",0,10.0,0,"-72.0,-72.0,0.0,80.0,0.0,0.0,-76.0,-76.0",0,47.0,2,"0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0",0,10.0,0,"80.0,80.0,80.0,-80.0,0.0,84.0,84.0,84.0",80,71.5,2,"0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0",0,10.0,0,"0.0,0.0,84.0,4.0,0.0,0.0,0.0,0.0",0,11.0,0,"0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0",0,10.0,0,"84.0,0.0,0.0,8.0,88.0,88.0,88.0,0.0",0,44.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,84.0,0.0,0.0,0.0,0.0,0.0,88.0",0,21.5,0,"0.0,84.0,-84.0,-84.0,0.0,0.0,0.0,88.0",0,42.5,2,"0.0,84.0,0.0,0.0,0.0,0.0,0.0,88.0",0,21.5,0,"-80.0,4.0,-80.0,0.0,0.0,-84.0,-84.0,4.0",-80,42.0,3,"0.0,84.0,0.0,0.0,0.0,0.0,0.0,88.0",0,21.5,0,"0.0,84.0,0.0,0.0,-80.0,-80.0,0.0,88.0",0,41.5,2,"0.0,-84.0,0.0,0.0,0.0,0.0,0.0,-88.0",0,21.5,0,"84.0,-84.0,0.0,88.0,88.0,88.0,88.0,-88.0",88,76.0,3,"0.0,-84.0,0.0,0.0,0.0,0.0,0.0,-88.0",0,21.5,0,"88.0,4.0,0.0,0.0,0.0,0.0,92.0,4.0",0,23.5,0,"0.0,-84.0,0.0,0.0,0.0,0.0,0.0,-88.0",0,21.5,0,"0.0,8.0,92.0,92.0,92.0,0.0,0.0,8.0",0,36.5,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0",0,11.5,0,"-88.0,-88.0,0.0,0.0,0.0,92.0,-92.0,-92.0",0,56.5,2,"0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0",0,11.5,0,"-84.0,0.0,0.0,-88.0,-88.0,4.0,-88.0,0.0",0,44.0,2,"0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0",0,11.5,0,"0.0,0.0,-84.0,-84.0,0.0,92.0,0.0,0.0",0,32.5,1,"0.0,0.0,0.0,0.0,0.0,-92.0,0.0,0.0",0,11.5,0,"0.0,92.0,92.0,92.0,92.0,-92.0,0.0,96.0",92,69.5,2,"0.0,0.0,0.0,0.0,0.0,-92.0,0.0,0.0",0,11.5,0,"0.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0",0,12.5,0,"0.0,0.0,0.0,0.0,0.0,-92.0,0.0,0.0",0,11.5,0,"96.0,96.0,96.0,0.0,0.0,8.0,100.0,100.0",96,62.0,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0",0,12.0,0,"0.0,0.0,0.0,96.0,-96.0,-96.0,0.0,0.0",0,36.0,1,"0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0",0,12.0,0,"0.0,-92.0,-92.0,4.0,-92.0,0.0,0.0,-96.0",0,47.0,2,"0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0",0,12.0,0,"-88.0,-88.0,0.0,96.0,0.0,0.0,-92.0,-92.0",0,57.0,2,"0.0,0.0,0.0,-96.0,0.0,0.0,0.0,0.0",0,12.0,0,"96.0,96.0,96.0,-96.0,0.0,100.0,100.0,100.0",96,85.5,2,"0.0,0.0,0.0,-96.0,0.0,0.0,0.0,0.0",0,12.0,0,"0.0,0.0,100.0,4.0,0.0,0.0,0.0,0.0",0,13.0,0,"0.0,0.0,0.0,-96.0,0.0,0.0,0.0,0.0",0,12.0,0,"100.0,0.0,0.0,8.0,104.0,104.0,104.0,0.0",0,52.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,100.0,0.0,0.0,0.0,0.0,0.0,104.0",0,25.5,0,"0.0,100.0,-100.0,-100.0,0.0,0.0,0.0,104.0",0,50.5,2,"0.0,100.0,0.0,0.0,0.0,0.0,0.0,104.0",0,25.5,0,"-96.0,4.0,-96.0,0.0,0.0,-100.0,-100.0,4.0",-96,50.0,3,"0.0,100.0,0.0,0.0,0.0,0.0,0.0,104.0",0,25.5,0,"0.0,100.0,0.0,0.0,-96.0,-96.0,0.0,104.0",0,49.5,2,"0.0,-100.0,0.0,0.0,0.0,0.0,0.0,-104.0",0,25.5,0,"100.0,-100.0,0.0,104.0,104.0,104.0,104.0,-104.0",104,90.0,3,"0.0,-100.0,0.0,0.0,0.0,0.0,0.0,-104.0",0,25.5,0,"104.0,4.0,0.0,0.0,0.0,0.0,108.0,4.0",0,27.5,0,"0.0,-100.0,0.0,0.0,0.0,0.0,0.0,-104.0",0,25.5,0,"0.0,8.0,108.0,108.0,108.0,0.0,0.0,8.0",0,42.5,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0",0,13.5,0,"-104.0,-104.0,0.0,0.0,0.0,108.0,-108.0,-108.0",0,66.5,2,"0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0",0,13.5,0,"-100.0,0.0,0.0,-104.0,-104.0,4.0,-104.0,0.0",0,52.0,2,"0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0",0,13.5,0,"0.0,0.0,-100.0,-100.0,0.0,108.0,0.0,0.0",0,38.5,1,"0.0,0.0,0.0,0.0,0.0,-108.0,0.0,0.0",0,13.5,0,"0.0,108.0,108.0,108.0,108.0,-108.0,0.0,112.0",108,81.5,2,"0.0,0.0,0.0,0.0,0.0,-108.0,0.0,0.0",0,13.5,0,"0.0,0.0,0.0,0.0,112.0,4.0,0.0,0.0",0,14.5,0,"0.0,0.0,0.0,0.0,0.0,-108.0,0.0,0.0",0,13.5,0,"112.0,112.0,112.0,0.0,0.0,8.0,116.0,116.0",112,72.0,0,0,5,3,R (5),0.5435644431995964,2.0
