Delta_with_1_last_read_pattern,Delta_with_1_last_read_most_frequent_delta,Delta_with_1_last_read_mean_abs_delta,Delta_with_1_last_read_n_stride_changes,Delta_with_1_last_write_pattern,Delta_with_1_last_write_most_frequent_delta,Delta_with_1_last_write_mean_abs_delta,Delta_with_1_last_write_n_stride_changes,Delta_with_2_last_read_pattern,Delta_with_2_last_read_most_frequent_delta,Delta_with_2_last_read_mean_abs_delta,Delta_with_2_last_read_n_stride_changes,Delta_with_2_last_write_pattern,Delta_with_2_last_write_most_frequent_delta,Delta_with_2_last_write_mean_abs_delta,Delta_with_2_last_write_n_stride_changes,Delta_with_3_last_read_pattern,Delta_with_3_last_read_most_frequent_delta,Delta_with_3_last_read_mean_abs_delta,Delta_with_3_last_read_n_stride_changes,Delta_with_3_last_write_pattern,Delta_with_3_last_write_most_frequent_delta,Delta_with_3_last_write_mean_abs_delta,Delta_with_3_last_write_n_stride_changes,Delta_with_1_next_read_pattern,Delta_with_1_next_read_most_frequent_delta,Delta_with_1_next_read_mean_abs_delta,Delta_with_1_next_read_n_stride_changes,Delta_with_1_next_write_pattern,Delta_with_1_next_write_most_frequent_delta,Delta_with_1_next_write_mean_abs_delta,Delta_with_1_next_write_n_stride_changes,Delta_with_2_next_read_pattern,Delta_with_2_next_read_most_frequent_delta,Delta_with_2_next_read_mean_abs_delta,Delta_with_2_next_read_n_stride_changes,Delta_with_2_next_write_pattern,Delta_with_2_next_write_most_frequent_delta,Delta_with_2_next_write_mean_abs_delta,Delta_with_2_next_write_n_stride_changes,Delta_with_3_next_read_pattern,Delta_with_3_next_read_most_frequent_delta,Delta_with_3_next_read_mean_abs_delta,Delta_with_3_next_read_n_stride_changes,Delta_with_3_next_write_pattern,Delta_with_3_next_write_most_frequent_delta,Delta_with_3_next_write_mean_abs_delta,Delta_with_3_next_write_n_stride_changes,code_segment_transitions,n_reads,n_writes,dominant_type_subsequence,entropy_of_addresses,entropy_of_pc
"0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0",0,40.5,0,"0.0,0.0,0.0,324.0,-324.0,-324.0,0.0,0.0",0,121.5,1,"0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0",0,40.5,0,"0.0,-320.0,-320.0,4.0,-320.0,0.0,0.0,-324.0",0,161.0,2,"0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0",0,40.5,0,"-316.0,-316.0,0.0,324.0,0.0,0.0,-320.0,-320.0",0,199.5,2,"0.0,0.0,0.0,-324.0,0.0,0.0,0.0,0.0",0,40.5,0,"324.0,324.0,324.0,-324.0,0.0,328.0,328.0,328.0",324,285.0,2,"0.0,0.0,0.0,-324.0,0.0,0.0,0.0,0.0",0,40.5,0,"0.0,0.0,328.0,4.0,0.0,0.0,0.0,0.0",0,41.5,0,"0.0,0.0,0.0,-324.0,0.0,0.0,0.0,0.0",0,40.5,0,"328.0,0.0,0.0,8.0,332.0,332.0,332.0,0.0",0,166.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,328.0,0.0,0.0,0.0,0.0,0.0,332.0",0,82.5,0,"0.0,328.0,-328.0,-328.0,0.0,0.0,0.0,332.0",0,164.5,2,"0.0,328.0,0.0,0.0,0.0,0.0,0.0,332.0",0,82.5,0,"-324.0,4.0,-324.0,0.0,0.0,-328.0,-328.0,4.0",-324,164.0,3,"0.0,328.0,0.0,0.0,0.0,0.0,0.0,332.0",0,82.5,0,"0.0,328.0,0.0,0.0,-324.0,-324.0,0.0,332.0",0,163.5,2,"0.0,-328.0,0.0,0.0,0.0,0.0,0.0,-332.0",0,82.5,0,"328.0,-328.0,0.0,332.0,332.0,332.0,332.0,-332.0",332,289.5,3,"0.0,-328.0,0.0,0.0,0.0,0.0,0.0,-332.0",0,82.5,0,"332.0,4.0,0.0,0.0,0.0,0.0,336.0,4.0",0,84.5,0,"0.0,-328.0,0.0,0.0,0.0,0.0,0.0,-332.0",0,82.5,0,"0.0,8.0,336.0,336.0,336.0,0.0,0.0,8.0",0,128.0,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0",0,42.0,0,"-332.0,-332.0,0.0,0.0,0.0,336.0,-336.0,-336.0",0,209.0,2,"0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0",0,42.0,0,"-328.0,0.0,0.0,-332.0,-332.0,4.0,-332.0,0.0",0,166.0,2,"0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0",0,42.0,0,"0.0,0.0,-328.0,-328.0,0.0,336.0,0.0,0.0",0,124.0,1,"0.0,0.0,0.0,0.0,0.0,-336.0,0.0,0.0",0,42.0,0,"0.0,336.0,336.0,336.0,336.0,-336.0,0.0,340.0",336,252.5,2,"0.0,0.0,0.0,0.0,0.0,-336.0,0.0,0.0",0,42.0,0,"0.0,0.0,0.0,0.0,340.0,4.0,0.0,0.0",0,43.0,0,"0.0,0.0,0.0,0.0,0.0,-336.0,0.0,0.0",0,42.0,0,"340.0,340.0,340.0,0.0,0.0,8.0,344.0,344.0",340,214.5,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0",0,42.5,0,"0.0,0.0,0.0,340.0,-340.0,-340.0,0.0,0.0",0,127.5,1,"0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0",0,42.5,0,"0.0,-336.0,-336.0,4.0,-336.0,0.0,0.0,-340.0",0,169.0,2,"0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0",0,42.5,0,"-332.0,-332.0,0.0,340.0,0.0,0.0,-336.0,-336.0",0,209.5,2,"0.0,0.0,0.0,-340.0,0.0,0.0,0.0,0.0",0,42.5,0,"340.0,340.0,340.0,-340.0,0.0,344.0,344.0,344.0",340,299.0,2,"0.0,0.0,0.0,-340.0,0.0,0.0,0.0,0.0",0,42.5,0,"0.0,0.0,344.0,4.0,0.0,0.0,0.0,0.0",0,43.5,0,"0.0,0.0,0.0,-340.0,0.0,0.0,0.0,0.0",0,42.5,0,"344.0,0.0,0.0,8.0,348.0,348.0,348.0,0.0",0,174.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,344.0,0.0,0.0,0.0,0.0,0.0,348.0",0,86.5,0,"0.0,344.0,-344.0,-344.0,0.0,0.0,0.0,348.0",0,172.5,2,"0.0,344.0,0.0,0.0,0.0,0.0,0.0,348.0",0,86.5,0,"-340.0,4.0,-340.0,0.0,0.0,-344.0,-344.0,4.0",-340,172.0,3,"0.0,344.0,0.0,0.0,0.0,0.0,0.0,348.0",0,86.5,0,"0.0,344.0,0.0,0.0,-340.0,-340.0,0.0,348.0",0,171.5,2,"0.0,-344.0,0.0,0.0,0.0,0.0,0.0,-348.0",0,86.5,0,"344.0,-344.0,0.0,348.0,348.0,348.0,348.0,-348.0",348,303.5,3,"0.0,-344.0,0.0,0.0,0.0,0.0,0.0,-348.0",0,86.5,0,"348.0,4.0,0.0,0.0,0.0,0.0,352.0,4.0",0,88.5,0,"0.0,-344.0,0.0,0.0,0.0,0.0,0.0,-348.0",0,86.5,0,"0.0,8.0,352.0,352.0,352.0,0.0,0.0,8.0",0,134.0,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0",0,44.0,0,"-348.0,-348.0,0.0,0.0,0.0,352.0,-352.0,-352.0",0,219.0,2,"0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0",0,44.0,0,"-344.0,0.0,0.0,-348.0,-348.0,4.0,-348.0,0.0",0,174.0,2,"0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0",0,44.0,0,"0.0,0.0,-344.0,-344.0,0.0,352.0,0.0,0.0",0,130.0,1,"0.0,0.0,0.0,0.0,0.0,-352.0,0.0,0.0",0,44.0,0,"0.0,352.0,352.0,352.0,352.0,-352.0,0.0,356.0",352,264.5,2,"0.0,0.0,0.0,0.0,0.0,-352.0,0.0,0.0",0,44.0,0,"0.0,0.0,0.0,0.0,356.0,4.0,0.0,0.0",0,45.0,0,"0.0,0.0,0.0,0.0,0.0,-352.0,0.0,0.0",0,44.0,0,"356.0,356.0,356.0,0.0,0.0,8.0,360.0,360.0",356,224.5,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0",0,44.5,0,"0.0,0.0,0.0,356.0,-356.0,-356.0,0.0,0.0",0,133.5,1,"0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0",0,44.5,0,"0.0,-352.0,-352.0,4.0,-352.0,0.0,0.0,-356.0",0,177.0,2,"0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0",0,44.5,0,"-348.0,-348.0,0.0,356.0,0.0,0.0,-352.0,-352.0",0,219.5,2,"0.0,0.0,0.0,-356.0,0.0,0.0,0.0,0.0",0,44.5,0,"356.0,356.0,356.0,-356.0,0.0,360.0,360.0,360.0",356,313.0,2,"0.0,0.0,0.0,-356.0,0.0,0.0,0.0,0.0",0,44.5,0,"0.0,0.0,360.0,4.0,0.0,0.0,0.0,0.0",0,45.5,0,"0.0,0.0,0.0,-356.0,0.0,0.0,0.0,0.0",0,44.5,0,"360.0,0.0,0.0,8.0,364.0,364.0,364.0,0.0",0,182.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,360.0,0.0,0.0,0.0,0.0,0.0,364.0",0,90.5,0,"0.0,360.0,-360.0,-360.0,0.0,0.0,0.0,364.0",0,180.5,2,"0.0,360.0,0.0,0.0,0.0,0.0,0.0,364.0",0,90.5,0,"-356.0,4.0,-356.0,0.0,0.0,-360.0,-360.0,4.0",-356,180.0,3,"0.0,360.0,0.0,0.0,0.0,0.0,0.0,364.0",0,90.5,0,"0.0,360.0,0.0,0.0,-356.0,-356.0,0.0,364.0",0,179.5,2,"0.0,-360.0,0.0,0.0,0.0,0.0,0.0,-364.0",0,90.5,0,"360.0,-360.0,0.0,364.0,364.0,364.0,364.0,-364.0",364,317.5,3,"0.0,-360.0,0.0,0.0,0.0,0.0,0.0,-364.0",0,90.5,0,"364.0,4.0,0.0,0.0,0.0,0.0,368.0,4.0",0,92.5,0,"0.0,-360.0,0.0,0.0,0.0,0.0,0.0,-364.0",0,90.5,0,"0.0,8.0,368.0,368.0,368.0,0.0,0.0,8.0",0,140.0,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0",0,46.0,0,"-364.0,-364.0,0.0,0.0,0.0,368.0,-368.0,-368.0",0,229.0,2,"0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0",0,46.0,0,"-360.0,0.0,0.0,-364.0,-364.0,4.0,-364.0,0.0",0,182.0,2,"0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0",0,46.0,0,"0.0,0.0,-360.0,-360.0,0.0,368.0,0.0,0.0",0,136.0,1,"0.0,0.0,0.0,0.0,0.0,-368.0,0.0,0.0",0,46.0,0,"0.0,368.0,368.0,368.0,368.0,-368.0,0.0,372.0",368,276.5,2,"0.0,0.0,0.0,0.0,0.0,-368.0,0.0,0.0",0,46.0,0,"0.0,0.0,0.0,0.0,372.0,4.0,0.0,0.0",0,47.0,0,"0.0,0.0,0.0,0.0,0.0,-368.0,0.0,0.0",0,46.0,0,"372.0,372.0,372.0,0.0,0.0,8.0,376.0,376.0",372,234.5,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0",0,46.5,0,"0.0,0.0,0.0,372.0,-372.0,-372.0,0.0,0.0",0,139.5,1,"0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0",0,46.5,0,"0.0,-368.0,-368.0,4.0,-368.0,0.0,0.0,-372.0",0,185.0,2,"0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0",0,46.5,0,"-364.0,-364.0,0.0,372.0,0.0,0.0,-368.0,-368.0",0,229.5,2,"0.0,0.0,0.0,-372.0,0.0,0.0,0.0,0.0",0,46.5,0,"372.0,372.0,372.0,-372.0,0.0,376.0,376.0,376.0",372,327.0,2,"0.0,0.0,0.0,-372.0,0.0,0.0,0.0,0.0",0,46.5,0,"0.0,0.0,376.0,4.0,0.0,0.0,0.0,0.0",0,47.5,0,"0.0,0.0,0.0,-372.0,0.0,0.0,0.0,0.0",0,46.5,0,"376.0,0.0,0.0,8.0,380.0,380.0,380.0,0.0",0,190.5,0,0,6,2,R (6),0.5435644431995964,2.25
