Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
70,0x55ac7dbe3206,R,0x7ffffbd4d780,1,46538086053816,-28,-352,-32,-12,-28,-232,-12,46538086053784,-64,-336,-312,-232,-320,-232,-28,360,-8,32,32,44,-8,56,56,36,-46537591379168,36,36,56,36,36,-46537591379160
73,0x55ac7dbe320e,R,0x7ffffbd4d8e8,1,360,332,8,368,360,332,128,360,128,296,46538086054160,48,348,40,128,32,-46538086054176,-368,-328,-316,-46538086054184,-368,-304,-324,-316,-46537591379528,-324,-46537591379524,-324,-324,-324,-324
76,0x55ac7dbe3214,W,0x7ffffbd4d778,1,-368,-36,46538086053808,0,-8,-40,-20,-8,-240,-20,46538086053776,-320,-344,-328,-20,-336,-46538086053808,40,52,52,-46538086053816,64,44,44,52,44,64,-46537591379156,44,-46537591379152,44,44
79,0x55ac7dbe30c4,R,0x55ac7dbe5fc8,1,-46538086054176,-46538086053808,-46538086053816,-46538086053808,-46538086054168,-46538086053848,-46538086053828,-46538086053844,-46538086054048,-46538086053828,-32,-46538086053880,-16,-46538086054136,-46538086053816,-46538086054144,46538086053848,46538086053848,46538086053860,46538086053808,46538086053872,46538086053872,46538086053852,494674648,46538086053852,46538086053852,46538086053872,46538086053852,46538086053852,494674656,46538086053852,494674660
81,0x55ac7dbe3219,W,0x7ffffbd4d7a0,1,46538086053848,40,32,4,46538086053848,0,32,4,-200,32,-200,-32,46538086053832,-280,-304,-296,0,12,-46538086053856,-40,24,4,12,-46537591379200,4,-46537591379196,4,4,4,4,12,-46537591379188
83,0x55ac7dbe321c,R,0x7ffffbd4d7a0,1,46538086053848,0,-328,4,46538086053848,40,-320,4,20,32,-200,20,46538086053816,-280,-304,-288,12,12,-46538086053856,24,4,4,12,4,24,-46537591379196,4,-46537591379192,4,4,12,4
86,0x55ac7dbe3222,W,0x7ffffbd4d7ac,1,12,12,-316,52,44,52,-308,12,44,44,-188,32,46538086053828,-20,46538086053844,-276,0,-52,12,12,-8,-46537591379212,-8,-8,12,-8,-8,-46537591379204,-8,-46537591379200,-8,-8
88,0x55ac7dbe3225,R,0x7ffffbd4d7ac,1,12,0,46538086053860,52,44,16,46538086053860,12,44,16,32,32,-188,-20,46538086053844,-268,-46538086053868,-52,12,-8,0,-46537591379212,-8,-46537591379208,-8,-8,-8,-8,0,-46537591379200,12,-8
93,0x55ac7dbe3231,W,0x7ffffbd4d778,1,-52,-52,46538086053808,-40,-368,-36,46538086053808,0,-360,-36,-20,-8,-240,-72,46538086053776,-320,-46538086053816,64,44,44,52,44,64,-46537591379156,44,-46537591379152,44,44,44,-46537591379148,44,44
96,0x55ac7dbe30b4,R,0x55ac7dbe5fc0,1,-46538086053868,-46538086053816,-46538086053856,-46538086053856,-46538086054184,-46538086053816,-46538086053824,-46538086053816,-46538086054176,-46538086053856,-46538086053824,-46538086053824,-46538086054056,-46538086053836,-46538086054056,-46538086054136,46538086053880,46538086053880,46538086053860,494674656,46538086053860,46538086053860,46538086053880,46538086053860,46538086053860,494674664,46538086053868,46538086053860,46538086053880,494674668,46538086053860,46538086053860
