Timestamp,PC,Type,Address,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write
121,0x563ec8e021d2,W,0x7ffeac767358,-16,45903938764976,0,45903938764944,0,-16,-16,-16,-45904133759880,-32,16,-45903938764920
123,0x563ec8e021d6,R,0x7ffeac767348,-32,-16,-32,45903938764928,-16,45903938764936,0,0,-45904133759864,32,0,-45903938764904
124,0x563ec8e021d6,W,0x7ffeac767348,0,-16,-32,45903938764960,-16,45903938764936,0,-16,32,32,0,-45903938764896
126,0x563ec8e021da,R,0x7ffeac767348,0,0,-32,45903938764960,-16,45903938764928,-45904133759864,-16,32,-45903938764904,32,-45903938764896
130,0x563ec8e02193,W,0x7ffeac767338,-16,-16,-48,-32,-48,45903938764912,-45904133759848,48,16,-45903938764888,48,-45903938764912
133,0x563ec8e02074,R,0x563ec8e04fd0,-45904133759864,-45904133759848,-45904133759864,-45904133759880,-45904133759896,-194994904,45904133759896,45904133759896,45904133759864,194994968,45904133759880,194994936
135,0x563ec8e02198,W,0x7ffeac767368,45904133759896,48,32,32,0,45903938764992,0,-45903938764936,0,-45903938764928,-16,-45903938764960
137,0x563ec8e0219c,R,0x7ffeac767368,45904133759896,0,32,32,0,16,-32,-45903938764936,-16,-45903938764928,-16,-16
139,0x563ec8e021a0,R,0x7ffeac767348,-32,-32,0,16,0,-16,32,-45903938764904,16,-45903938764928,32,16
141,0x563ec8e021a3,W,0x563ed47fb2e0,-45903938764904,-45903938764936,194994960,-45903938764888,-45903938764904,-45903938764904,45903938764936,8,45903938764920,-24,45903938764936,45903938764904
143,0x563ec8e021a5,R,0x7ffeac767368,32,45903938764936,0,48,32,32,-16,-45903938764928,-16,-16,0,-32
145,0x563ec8e021a9,W,0x563ed47fb2e8,-45903938764928,8,-45903938764928,-45903938764928,194994968,-45903938764896,45903938764912,-32,45903938764928,45903938764912,45903938764896,45903938764896
147,0x563ec8e021b1,R,0x7ffeac767358,-16,45903938764912,16,-16,45904133759880,32,0,-45903938764944,16,0,-16,-16
150,0x563ec8e021b8,R,0x7ffeac767358,0,45903938764912,16,45903938764920,-16,32,16,-45903938764944,-16,0,-16,-32
