Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_2_last_read_mean,Delta_with_2_last_read_std,Delta_with_2_last_read_median,Delta_with_2_last_read_unique,Delta_with_2_last_read_zeros_frac,Delta_with_2_last_read_entropy,Delta_with_2_last_read_mode,Delta_with_2_last_read_mode_count,Delta_with_2_last_read_ac_first_peak,Delta_with_2_last_read_fft_dom_bin,Delta_with_2_last_read_fft_dom_power,Delta_with_3_last_read_mean,Delta_with_3_last_read_std,Delta_with_3_last_read_median,Delta_with_3_last_read_unique,Delta_with_3_last_read_zeros_frac,Delta_with_3_last_read_entropy,Delta_with_3_last_read_mode,Delta_with_3_last_read_mode_count,Delta_with_3_last_read_ac_first_peak,Delta_with_3_last_read_fft_dom_bin,Delta_with_3_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,Delta_with_2_last_write_mean,Delta_with_2_last_write_std,Delta_with_2_last_write_median,Delta_with_2_last_write_unique,Delta_with_2_last_write_zeros_frac,Delta_with_2_last_write_entropy,Delta_with_2_last_write_mode,Delta_with_2_last_write_mode_count,Delta_with_2_last_write_ac_first_peak,Delta_with_2_last_write_fft_dom_bin,Delta_with_2_last_write_fft_dom_power,Delta_with_3_last_write_mean,Delta_with_3_last_write_std,Delta_with_3_last_write_median,Delta_with_3_last_write_unique,Delta_with_3_last_write_zeros_frac,Delta_with_3_last_write_entropy,Delta_with_3_last_write_mode,Delta_with_3_last_write_mode_count,Delta_with_3_last_write_ac_first_peak,Delta_with_3_last_write_fft_dom_bin,Delta_with_3_last_write_fft_dom_power,start,length,Target,Fine_grained_Target
1.71333235740682,12.9214003390962,0,52,0.11,2.9586008138802,0,11,5,22,257.021213933229,-0.991703811921632,11.107289536541,-1.6094379124341,51,0.06,2.491077071592,1.6094379124341,10,5,37,254.041885555086,6.2398208969084,16.3194296599961,2.19722457733622,61,0.09,1.82414003772151,0,9,5,3,489.13866408722,-2.5872660947596,7.67216160312645,-2.19722457733622,35,0.14,3.11973719155614,-2.19722457733622,18,5,37,145.719742035022,-2.00711936580351,7.96633940683173,0,40,0.17,2.68431522352567,0,17,5,1,177.509860297203,-1.56288139594961,7.63989089973717,-0.80471895621705,48,0.07,2.35190912530087,2.19722457733622,10,5,1,192.385924330225,0,100,1,1
-0.177371783245598,2.60913725440969,0,18,0.17,2.45661052797154,0,17,5,26,64.6159860268424,0.239674307614606,2.62710617661045,1.6094379124341,20,0.12,2.6434677401464,1.6094379124341,19,8,19,61.9506832691224,0.0790977935153043,2.77081550282504,0,28,0.18,2.65829072069566,0,18,4,3,88.5584366252531,-0.845147035511729,2.77046167886504,-1.6094379124341,16,0.23,2.46183726577869,0,23,31,26,87.6929293045578,0.464966367925485,3.56931663560943,0,27,0.2,2.57993689727469,0,20,31,10,98.545764646406,0.784360139433497,3.62974822142633,1.6094379124341,29,0.05,2.63076294737676,2.19722457733622,17,15,6,115.343987788306,50,100,1,1
-0.291090655535164,2.49655294242432,0,14,0.18,2.34956950069423,0,18,5,39,76.1944506774877,0.152161607703146,2.49586894607772,0.80471895621705,14,0.12,2.5021101420287,1.6094379124341,20,31,13,64.3673155347637,-0.0456134102282558,2.56053092607959,0,18,0.2,2.55533883925212,0,20,4,26,98.7568418175252,-0.818682409188421,2.69020894524448,-1.6094379124341,13,0.24,2.26912449292028,-1.6094379124341,26,31,26,85.3043811781333,0.403982705036087,3.47413436955564,0,22,0.2,2.58111478894855,0,20,31,6,89.4311488759021,0.83048334532388,3.67976071752235,1.6094379124341,19,0.06,2.47014711958645,-1.6094379124341,18,16,6,120.177071352926,100,100,1,1
-0.234208402125535,2.45262296507387,0,14,0.21,2.3433586415828,0,21,5,39,68.7627891467057,0.160756073241611,2.47409089378583,0.80471895621705,14,0.12,2.50120786967488,1.6094379124341,20,8,26,60.5325399016777,-0.154262525800523,2.54980319004785,0,18,0.18,2.59152189422939,0,18,4,26,100.792148363055,-0.861100564279977,2.66625160923751,-1.6094379124341,13,0.22,2.22788738782341,-1.6094379124341,27,31,26,86.6273333289393,0.217568525633297,3.49288767229273,0,22,0.19,2.54291779594163,-2.19722457733622,23,31,3,99.1943165512822,0.940744830882966,3.87812071417027,0,19,0.06,2.37796931100757,-1.6094379124341,19,16,6,113.592647333509,150,100,1,1
-0.366534298177529,2.55030905903163,0,15,0.19,2.3737214534234,0,19,15,39,72.4440790343563,-0.0183305640299839,2.54337634554459,0,15,0.15,2.55934787231624,1.6094379124341,19,8,26,71.9561232482141,-0.31541446859363,2.61872721325573,0,19,0.21,2.62472842456895,0,21,4,26,102.317623496124,-0.785401737659379,2.94510462654741,-1.6094379124341,15,0.22,2.30353828703561,-1.6094379124341,25,31,26,99.8413514330248,0.486398026269302,3.70415109930991,0,24,0.19,2.58439981402467,-2.19722457733622,19,31,10,98.6181016534365,0.63895424136969,3.7571425687508,0,20,0.07,2.3986962388039,-1.6094379124341,20,15,6,116.182577448863,200,100,1,1
-0.263774713644401,2.49195386747811,0,14,0.19,2.33021655962104,0,19,5,39,77.8613679246566,0.106158216073955,2.49232394875207,0,14,0.12,2.5045208504393,1.6094379124341,19,8,26,63.890723637992,-0.0653266639549446,2.54978958338481,0,18,0.19,2.58421242767889,0,19,4,26,97.0371398068611,-0.869902316222506,2.67881976243938,-1.6094379124341,13,0.23,2.26526159066551,-1.6094379124341,25,31,26,83.7747034339688,0.347135584661022,3.47349643408073,0,22,0.2,2.55869723091489,0,20,31,3,86.6783668639996,0.669633887343845,3.69425550520347,0,19,0.07,2.38218290205402,-1.6094379124341,20,16,6,118.306761955536,250,100,1,1
-0.297372522120372,2.48013215743952,0,14,0.2,2.32225144024166,0,20,16,39,74.9777661036568,0.041854867140968,2.50185248344538,0,14,0.13,2.54098047957866,1.6094379124341,18,31,13,64.4534823677853,-0.182704058788649,2.53364761087591,0,18,0.19,2.59797408974104,0,19,4,26,101.702347231364,-0.916663120887221,2.66425229129019,-1.6094379124341,13,0.22,2.22932545633145,-1.6094379124341,27,31,26,85.1924199107775,0.366155149897397,3.61463109562771,0,22,0.18,2.55745707309586,-2.19722457733622,20,31,10,104.041942301364,0.930876532041071,3.87738490949623,0,20,0.06,2.37796931100757,-1.6094379124341,19,15,6,111.765472402085,300,100,1,1
-0.34767858792825,2.55190732286483,0,15,0.18,2.39267909683758,0,18,5,39,79.2594093741153,0.0915670356241061,2.5651670787601,0,15,0.13,2.53601645453215,1.6094379124341,20,31,13,69.9121889955794,-0.146627855186245,2.628092192866,0,19,0.2,2.58662139181051,0,20,4,26,99.1620779634515,-0.787372038091253,2.84954236681917,-1.6094379124341,15,0.23,2.30919443437875,-1.6094379124341,26,31,26,93.1664983163325,0.361174376832863,3.52439598035292,0,23,0.2,2.60263007462839,0,20,31,6,91.3906566770414,0.786818004970805,3.73057271232486,1.6094379124341,20,0.06,2.49638429192416,-1.6094379124341,18,15,6,115.963450803196,350,100,1,1
-0.256856665189559,2.46374496433371,0,14,0.2,2.33860457097806,0,20,16,39,68.3760343411185,0.149387165522348,2.4703961058989,0.80471895621705,14,0.12,2.5021101420287,1.6094379124341,20,8,26,64.2098305593963,-0.165612140542826,2.55730829141991,0,18,0.18,2.59338667698871,0,18,4,26,101.83171700497,-0.860241895200034,2.66723715059864,-1.6094379124341,13,0.23,2.25195327800466,-1.6094379124341,25,31,26,88.5378992427809,0.245702612133557,3.48168910328634,0,22,0.19,2.55325271217787,-2.19722457733622,21,31,3,95.866063421436,0.763410482236546,3.79063543181246,0,19,0.07,2.37353661857739,-1.6094379124341,19,16,6,111.90236315223,400,100,1,1
-0.333702816067821,2.45904592983561,0,14,0.2,2.33254005624272,0,20,5,39,80.5367738847535,0.057560114772606,2.47364759435576,0,14,0.14,2.52769446194389,1.6094379124341,19,8,26,67.8112797933287,-0.276705119834902,2.53572954012485,0,18,0.2,2.60634549568255,0,20,4,26,97.0715767247449,-0.824654753501629,2.76803962476929,-1.6094379124341,14,0.22,2.24277704484291,-1.6094379124341,26,31,26,95.2075708811508,0.674933329072221,3.7236927018975,0,23,0.19,2.27997803434804,-2.19722457733622,19,31,3,114.126461003745,0.640717529224956,3.68511714052637,0,19,0.07,2.36684270882118,-1.6094379124341,21,15,6,115.960127099193,450,100,1,1
