Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,start,length,Target,Fine_grained_Target
0.9582081690908,11.8037217005419,0,48,0.15,2.7722927669478,0,15,13,15,228.44502391123,-1.85579453764332,7.59003124539783,-1.6094379124341,37,0.16,2.46443914452417,0,16,5,39,163.166059959546,0,100,7,1
-0.740692649631423,3.62970915814692,-0.80471895621705,26,0.2,2.24643934478899,0,20,2,50,244.694087651256,0.132323622515275,4.07687751063325,0,24,0.2,2.32192809500431,0,20,10,50,210.115506666631,50,100,7,1
-0.740692649631423,3.62970915814692,-0.80471895621705,26,0.2,2.24643934478899,0,20,2,50,244.694087651256,0.132323622515275,4.07687751063325,0,24,0.2,2.32192809500431,0,20,10,50,210.115506666631,100,100,7,1
-0.740692649631423,3.62970915814692,-0.80471895621705,26,0.2,2.24643934478899,0,20,2,50,244.694087651256,0.132323622515275,4.07687751063325,0,24,0.2,2.32192809500431,0,20,10,50,210.115506666631,150,100,7,1
-0.740692649631423,3.62970915814692,-0.80471895621705,26,0.2,2.24643934478899,0,20,2,50,244.694087651256,0.132323622515275,4.07687751063325,0,24,0.2,2.32192809500431,0,20,10,50,210.115506666631,200,100,7,1
-0.740692649631423,3.62970915814692,-0.80471895621705,26,0.2,2.24643934478899,0,20,2,50,244.694087651256,0.132323622515275,4.07687751063325,0,24,0.2,2.32192809500431,0,20,10,50,210.115506666631,250,100,7,1
-0.740692649631423,3.62970915814692,-0.80471895621705,26,0.2,2.24643934478899,0,20,2,50,244.694087651256,0.132323622515275,4.07687751063325,0,24,0.2,2.32192809500431,0,20,10,50,210.115506666631,300,100,7,1
-0.740692649631423,3.62970915814692,-0.80471895621705,26,0.2,2.24643934478899,0,20,2,50,244.694087651256,0.132323622515275,4.07687751063325,0,24,0.2,2.32192809500431,0,20,10,50,210.115506666631,350,100,7,1
-0.740692649631423,3.62970915814692,-0.80471895621705,26,0.2,2.24643934478899,0,20,2,50,244.694087651256,0.132323622515275,4.07687751063325,0,24,0.2,2.32192809500431,0,20,10,50,210.115506666631,400,100,7,1
-0.740692649631423,3.62970915814692,-0.80471895621705,26,0.2,2.24643934478899,0,20,2,50,244.694087651256,0.132323622515275,4.07687751063325,0,24,0.2,2.32192809500431,0,20,10,50,210.115506666631,450,100,7,1
