Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x558830df3089,R,0x7fffb088c830,1,,,,,,,,,,,,,,,,,-46692731283544,-8,-46692731283528,-24,-104,-280,-360791011528,-288,-372,-304,16,-312,-384,-372,-46692731283552,-384
9,0x558830df3091,W,0x7fffb088c828,1,-8,,,,,,,,,,,,,,,,-46692731283536,-8,-46692731283520,-264,-96,-272,-360791011520,-288,-376,-296,-46692731283544,-304,32,-364,-46692731283544,-320
11,0x558830df3092,W,0x7fffb088c820,1,-16,-8,-16,,,,,,,,,,,,,,-46692731283528,-8,-88,-256,-88,-272,-356,-280,32,-288,-368,-296,40,-368,-46692731283536,-340
16,0x558830df309f,R,0x558830df5fd8,1,-46692731283544,-46692731283528,-46692731283544,-46692731283536,-46692731283544,,,,,,,,,,,,16,46692731283520,46692731283440,46692731283264,46331940272016,46692731283256,46692731283160,46692731283248,-8,46692731283240,46692731283160,46692731283172,46692731283568,46692731283216,-8,46692731283192
17,0x558830df309f,W,0x7fffb088c818,1,46692731283520,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46692731283504,-248,-80,-256,-348,-264,40,-272,-46692731283528,-288,-360,-360,48,-332,-46692731283528,-368
21,0x558830df3008,R,0x558830df5fe8,1,16,-46692731283504,-46692731283528,-46692731283520,-46692731283528,-46692731283512,-46692731283528,-46692731283520,-46692731283528,,,,,,,,46692731283424,46692731283256,46331940272000,46692731283248,46692731283144,46692731283240,46692731283544,46692731283224,-24,46692731283156,46692731283144,46692731283200,46692731283552,46692731283176,-24,46692731283172
26,0x558830df301a,R,0x7fffb088c7c8,1,46692731283424,-80,-104,-88,46692731283440,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-268,-176,-280,-192,120,-208,-46692731283448,-280,-280,-252,128,-288,-46692731283448,-288
39,0x558830df3118,R,0x7fffb088c7c8,1,0,-80,46692731283440,-88,46692731283440,-96,46692731283440,-88,-104,-88,-104,-96,-104,,,,-360791011424,-168,-268,-184,-280,-200,120,-268,-46692731283448,-224,-280,-248,128,-252,-46692731283448,-248
42,0x558830df316d,W,0x7fffb088c720,1,-168,-248,46692731283256,-256,-272,-264,46692731283272,-248,46692731283272,-256,-272,-256,-272,-264,-272,,-360791011256,-8,-100,-24,-112,-40,288,-112,-46692731283280,-84,-112,-120,296,-120,-46692731283280,-72
45,0x558830df3171,W,0x7fffb088c718,1,-176,-8,-176,-264,46692731283264,-272,46692731283248,-256,46692731283264,-256,46692731283264,-264,-280,-264,-280,-272,-360791011248,-8,-92,-24,-104,-92,296,-48,-46692731283272,-72,-104,-76,304,-72,-76,-64
