Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x55fce403e109,R,0x7fff080ea570,1,,,,,,,,,,,,,,,,,-46188682974616,-8,-46188682974600,-24,-104,-280,-585699773960,-288,-372,-304,16,-312,-364,-372,-46188682974640,-384
9,0x55fce403e111,W,0x7fff080ea568,1,-8,,,,,,,,,,,,,,,,-46188682974608,-8,-46188682974592,-264,-96,-272,-585699773952,-288,-376,-296,-46188682974624,-304,-384,-364,-46188682974632,-320
11,0x55fce403e112,W,0x7fff080ea560,1,-16,-8,-16,,,,,,,,,,,,,,-46188682974600,-8,-88,-256,-88,-272,-356,-280,32,-288,-348,-296,-376,-368,-46188682974624,-348
16,0x55fce403e11f,R,0x55fce4040fd8,1,-46188682974616,-46188682974600,-46188682974616,-46188682974608,-46188682974616,,,,,,,,,,,,16,46188682974592,46188682974512,46188682974336,45602983200656,46188682974328,46188682974232,46188682974320,-16,46188682974312,46188682974252,46188682974244,46188682974224,46188682974288,-24,46188682974224
17,0x55fce403e11f,W,0x7fff080ea558,1,46188682974592,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46188682974576,-248,-80,-256,-348,-264,40,-272,-46188682974608,-288,-340,-360,-368,-340,-46188682974616,-340
21,0x55fce403e008,R,0x55fce4040fe8,1,16,-46188682974576,-46188682974600,-46188682974592,-46188682974600,-46188682974584,-46188682974600,-46188682974592,-46188682974600,,,,,,,,46188682974496,46188682974328,45602983200640,46188682974320,46188682974216,46188682974312,46188682974616,46188682974296,-32,46188682974228,46188682974236,46188682974272,46188682974208,46188682974208,-40,46188682974256
26,0x55fce403e01a,R,0x7fff080ea508,1,46188682974496,-80,-104,-88,46188682974512,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-268,-176,-280,-192,120,-208,-46188682974528,-280,-260,-260,-288,-260,-46188682974536,-288
39,0x55fce403e198,R,0x7fff080ea508,1,0,-80,46188682974512,-88,46188682974512,-96,46188682974512,-88,-104,-88,-104,-96,-104,,,,-585699773856,-168,-268,-184,-280,-200,120,-268,-46188682974528,-224,-260,-288,-288,-240,-46188682974536,-232
42,0x55fce403e1ed,W,0x7fff080ea460,1,-168,-248,46188682974328,-256,-272,-264,46188682974344,-248,46188682974344,-256,-272,-256,-272,-264,-272,,-585699773688,-8,-100,-24,-112,-40,288,-112,-46188682974360,-92,-92,-92,-120,-120,-46188682974368,-328
45,0x55fce403e1f1,W,0x7fff080ea458,1,-176,-8,-176,-264,46188682974336,-272,46188682974320,-256,46188682974336,-256,46188682974336,-264,-280,-264,-280,-272,-585699773680,-8,-92,-24,-104,-92,296,-48,-46188682974352,-112,-84,-64,-112,-56,-46188682974368,-320
47,0x55fce403e1f3,W,0x7fff080ea450,1,-184,-8,-184,-264,46188682974312,-280,-288,-264,46188682974312,-264,46188682974328,-264,46188682974328,-272,-288,-272,-585699773672,-8,-84,-24,-96,-96,304,-76,-46188682974344,-76,-76,-104,-46188682974352,-48,-46188682974360,-312
49,0x55fce403e1f5,W,0x7fff080ea448,1,-192,-8,-192,-24,46188682974304,-280,46188682974320,-272,-192,-272,46188682974304,-272,46188682974320,-272,46188682974320,-280,-585699773664,-8,-76,-76,-88,-32,312,-96,-46188682974336,-48,-96,-96,-46188682974344,-304,-46188682974352,-64
51,0x55fce403e1f7,W,0x7fff080ea440,1,-200,-8,-200,-24,46188682974296,-280,46188682974312,-296,-304,-280,-200,-280,46188682974296,-280,46188682974312,-280,-585699773656,-8,-68,-80,-80,-60,320,-60,-60,-40,-88,-32,-46188682974336,-296,-56,-56
53,0x55fce403e1f9,W,0x7fff080ea438,1,-208,-8,-208,-24,46188682974288,-40,46188682974304,-296,-312,-40,-208,-288,-208,-288,46188682974288,-288,-585699773648,-60,-60,-16,-72,-80,-46188682974320,-52,-52,-80,-80,-288,-46188682974336,-288,-52,-48
56,0x55fce403e1fe,W,0x7fff080ea3fc,1,-268,-60,-268,-76,46188682974228,-92,46188682974244,-348,-372,-364,-268,-100,-268,-348,-268,-348,-585699773588,-12,0,8,388,-20,-46188682974260,28,8,36,-46188682974268,-228,12,-228,36,12
