Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x555a70b000a9,R,0x7ffe71b48250,1,,,,,,,,,,,,,,,,,-46883880063608,-8,-46883880063592,-24,-104,-280,-876317805288,-288,-388,-304,16,-312,-400,-388,-46883880063616,-400
9,0x555a70b000b1,W,0x7ffe71b48248,1,-8,,,,,,,,,,,,,,,,-46883880063600,-8,-46883880063584,-264,-96,-272,-876317805280,-288,-392,-296,-46883880063608,-304,32,-380,-46883880063608,-320
11,0x555a70b000b2,W,0x7ffe71b48240,1,-16,-8,-16,,,,,,,,,,,,,,-46883880063592,-8,-88,-256,-88,-272,-372,-280,32,-288,-384,-296,40,-384,-46883880063600,-364
16,0x555a70b000bf,R,0x555a70b02fd8,1,-46883880063608,-46883880063592,-46883880063608,-46883880063600,-46883880063608,,,,,,,,,,,,16,46883880063584,46883880063504,46883880063328,46007562258320,46883880063320,46883880063208,46883880063312,-8,46883880063304,46883880063208,46883880063220,46883880063632,46883880063280,-8,46883880063232
17,0x555a70b000bf,W,0x7ffe71b48238,1,46883880063584,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46883880063568,-248,-80,-256,-364,-264,40,-272,-46883880063592,-288,-376,-376,48,-356,-46883880063592,-432
21,0x555a70b00008,R,0x555a70b02fe8,1,16,-46883880063568,-46883880063592,-46883880063584,-46883880063592,-46883880063576,-46883880063592,-46883880063584,-46883880063592,,,,,,,,46883880063488,46883880063320,46007562258304,46883880063312,46883880063192,46883880063304,46883880063608,46883880063288,-24,46883880063204,46883880063192,46883880063264,46883880063616,46883880063216,-24,46883880063212
26,0x555a70b0001a,R,0x7ffe71b481e8,1,46883880063488,-80,-104,-88,46883880063504,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-284,-176,-296,-192,120,-208,-46883880063512,-296,-296,-276,128,-352,-46883880063512,-352
39,0x555a70b00138,R,0x7ffe71b481e8,1,0,-80,46883880063504,-88,46883880063504,-96,46883880063504,-88,-104,-88,-104,-96,-104,,,,-876317805184,-168,-284,-184,-296,-200,120,-284,-46883880063512,-224,-296,-272,128,-276,-46883880063512,-272
42,0x555a70b0018d,W,0x7ffe71b48140,1,-168,-248,46883880063320,-256,-272,-264,46883880063336,-248,46883880063336,-256,-272,-256,-272,-264,-272,,-876317805016,-8,-116,-24,-128,-40,288,-128,-46883880063344,-108,-128,-184,296,-184,-46883880063344,-80
45,0x555a70b00191,W,0x7ffe71b48138,1,-176,-8,-176,-264,46883880063328,-272,46883880063312,-256,46883880063328,-256,46883880063328,-264,-280,-264,-280,-272,-876317805008,-8,-108,-24,-120,-108,296,-48,-46883880063336,-96,-120,-100,304,-96,-96,-72
47,0x555a70b00193,W,0x7ffe71b48130,1,-184,-8,-184,-264,46883880063304,-280,-288,-264,46883880063304,-264,46883880063320,-264,46883880063320,-272,-288,-272,-876317805000,-8,-100,-24,-112,-112,304,-92,-46883880063328,-168,-112,-168,-46883880063328,-88,-88,-160
49,0x555a70b00195,W,0x7ffe71b48128,1,-192,-8,-192,-24,46883880063296,-280,46883880063312,-272,-192,-272,46883880063296,-272,46883880063312,-272,46883880063312,-280,-876317804992,-8,-92,-92,-104,-32,312,-80,-46883880063320,-84,320,-160,-46883880063320,-56,-80,-144
51,0x555a70b00197,W,0x7ffe71b48120,1,-200,-8,-200,-24,46883880063288,-280,46883880063304,-296,-304,-280,-200,-280,46883880063288,-280,46883880063304,-280,-876317804984,-8,-84,-96,-96,-76,320,-152,-96,-76,328,-72,-46883880063312,-144,-72,-40
53,0x555a70b00199,W,0x7ffe71b48118,1,-208,-8,-208,-24,46883880063280,-40,46883880063296,-296,-312,-40,-208,-288,-208,-288,46883880063280,-288,-876317804976,-76,-76,-16,-88,-64,-46883880063304,-144,-88,-144,336,-40,-46883880063304,-128,-68,-32
56,0x555a70b001a1,W,0x7ffe71b480cc,1,-284,-76,-284,-92,46883880063204,-108,46883880063220,-364,-388,-380,-284,-116,-284,-364,-284,-364,-876317804900,-12,0,8,404,12,-46883880063228,8,-12,12,412,-60,12,-52,-44,44
58,0x555a70b001a4,W,0x7ffe71b480c0,1,-296,-12,-296,-96,46883880063192,-112,46883880063208,-128,-400,-384,-296,-120,-296,-128,-296,-376,-876317804888,72,0,20,416,-56,-46883880063216,-56,0,48,-46883880063216,-48,20,-40,-24,56
60,0x555a70b001a8,R,0x7f326917f768,1,-876317805184,-876317804888,-876317805184,-876317804976,46007562258304,-876317804992,46007562258320,-876317805008,-876317805288,-876317805264,-876317805184,-876317805280,-876317805184,-876317805008,-876317805184,-876317805016,876317804900,876317804960,876317804888,876317804912,876317805304,876317804908,-46007562258328,876317804912,876317805312,876317804936,876317804912,876317804840,876317804856,876317804848,876317804864,876317804856
62,0x555a70b001b1,W,0x7ffe71b48108,1,876317804960,72,-224,60,46883880063264,-24,46883880063280,-40,-328,-56,-224,-312,-224,-40,-224,-48,-60,-52,-72,-128,344,-128,-72,-48,-46883880063288,-24,-52,-120,-104,-16,-88,-104
67,0x555a70b001bd,W,0x7ffe71b480d4,1,876317804908,-52,-276,8,46883880063212,-68,46883880063228,-84,-380,-100,-276,-356,-276,-372,-276,-92,-8,4,-20,0,-46883880063236,-76,404,4,4,28,0,-60,-44,36,-36,-44
69,0x555a70b001c4,W,0x7ffe71b480d8,1,876317804912,4,-272,24,-272,-64,46883880063232,-72,-376,-88,-272,-104,-272,-360,-272,-80,-12,-80,392,-4,-24,-80,-46883880063240,0,0,-72,-56,-64,-48,-56,-32,-48
71,0x555a70b001cb,R,0x7ffe71b480cc,1,876317804900,-12,-284,-60,-284,0,46883880063204,-84,-388,-92,-284,-108,-284,-364,-284,-380,-12,-68,-46883880063228,8,412,-68,-46883880063228,36,8,-60,-44,44,-28,-44,-28,-36
74,0x555a70b001d1,R,0x7ffe71b480c0,1,-12,-24,-296,-20,-296,0,46883880063192,-88,46883880063208,-104,-296,-112,-296,-128,-296,-384,416,-56,0,20,424,24,24,48,20,-40,-24,56,-8,-32,-16,-16
77,0x555a70b001d9,R,0x7ffe71b48260,1,416,392,876317805304,396,120,344,46883880063608,404,46883880063624,320,16,304,120,296,120,40,-46883880063632,-472,-416,-472,-46883880063632,-392,-392,-464,-448,-456,-432,-360,-424,-440,-472,-432
80,0x555a70b001df,W,0x7ffe71b48088,1,-472,-80,-68,-76,-352,-128,46883880063136,-56,46883880063152,-144,-456,-160,876317804832,-176,-352,-184,-46883880063160,76,480,0,-46883880063160,104,76,8,32,16,40,24,40,32,0,48
