Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x55ce13add0a9,R,0x7ffe523e92a0,1,,,,,,,,,,,,,,,,,-46386696458952,-8,-46386696458936,-24,-104,-280,-704193469240,-288,-388,-304,16,-312,-400,-388,-46386696458960,-400
9,0x55ce13add0b1,W,0x7ffe523e9298,1,-8,,,,,,,,,,,,,,,,-46386696458944,-8,-46386696458928,-264,-96,-272,-704193469232,-288,-392,-296,-46386696458952,-304,32,-380,-46386696458952,-320
11,0x55ce13add0b2,W,0x7ffe523e9290,1,-16,-8,-16,,,,,,,,,,,,,,-46386696458936,-8,-88,-256,-88,-272,-372,-280,32,-288,-384,-296,40,-384,-46386696458944,-364
16,0x55ce13add0bf,R,0x55ce13adffd8,1,-46386696458952,-46386696458936,-46386696458952,-46386696458944,-46386696458952,,,,,,,,,,,,16,46386696458928,46386696458848,46386696458672,45682502989712,46386696458664,46386696458552,46386696458656,-8,46386696458648,46386696458552,46386696458564,46386696458976,46386696458624,-8,46386696458576
17,0x55ce13add0bf,W,0x7ffe523e9288,1,46386696458928,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46386696458912,-248,-80,-256,-364,-264,40,-272,-46386696458936,-288,-376,-376,48,-356,-46386696458936,-432
21,0x55ce13add008,R,0x55ce13adffe8,1,16,-46386696458912,-46386696458936,-46386696458928,-46386696458936,-46386696458920,-46386696458936,-46386696458928,-46386696458936,,,,,,,,46386696458832,46386696458664,45682502989696,46386696458656,46386696458536,46386696458648,46386696458952,46386696458632,-24,46386696458548,46386696458536,46386696458608,46386696458960,46386696458560,-24,46386696458556
26,0x55ce13add01a,R,0x7ffe523e9238,1,46386696458832,-80,-104,-88,46386696458848,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-284,-176,-296,-192,120,-208,-46386696458856,-296,-296,-276,128,-352,-46386696458856,-352
39,0x55ce13add138,R,0x7ffe523e9238,1,0,-80,46386696458848,-88,46386696458848,-96,46386696458848,-88,-104,-88,-104,-96,-104,,,,-704193469136,-168,-284,-184,-296,-200,120,-284,-46386696458856,-224,-296,-272,128,-276,-46386696458856,-272
42,0x55ce13add18d,W,0x7ffe523e9190,1,-168,-248,46386696458664,-256,-272,-264,46386696458680,-248,46386696458680,-256,-272,-256,-272,-264,-272,,-704193468968,-8,-116,-24,-128,-40,288,-128,-46386696458688,-108,-128,-184,296,-184,-46386696458688,-80
45,0x55ce13add191,W,0x7ffe523e9188,1,-176,-8,-176,-264,46386696458672,-272,46386696458656,-256,46386696458672,-256,46386696458672,-264,-280,-264,-280,-272,-704193468960,-8,-108,-24,-120,-108,296,-48,-46386696458680,-96,-120,-100,304,-96,-96,-72
47,0x55ce13add193,W,0x7ffe523e9180,1,-184,-8,-184,-264,46386696458648,-280,-288,-264,46386696458648,-264,46386696458664,-264,46386696458664,-272,-288,-272,-704193468952,-8,-100,-24,-112,-112,304,-92,-46386696458672,-168,-112,-168,-46386696458672,-88,-88,-160
49,0x55ce13add195,W,0x7ffe523e9178,1,-192,-8,-192,-24,46386696458640,-280,46386696458656,-272,-192,-272,46386696458640,-272,46386696458656,-272,46386696458656,-280,-704193468944,-8,-92,-92,-104,-32,312,-80,-46386696458664,-84,320,-160,-46386696458664,-56,-80,-144
51,0x55ce13add197,W,0x7ffe523e9170,1,-200,-8,-200,-24,46386696458632,-280,46386696458648,-296,-304,-280,-200,-280,46386696458632,-280,46386696458648,-280,-704193468936,-8,-84,-96,-96,-76,320,-152,-96,-76,328,-72,-46386696458656,-144,-72,-40
53,0x55ce13add199,W,0x7ffe523e9168,1,-208,-8,-208,-24,46386696458624,-40,46386696458640,-296,-312,-40,-208,-288,-208,-288,46386696458624,-288,-704193468928,-76,-76,-16,-88,-64,-46386696458648,-144,-88,-144,336,-40,-46386696458648,-128,-68,-32
56,0x55ce13add1a1,W,0x7ffe523e911c,1,-284,-76,-284,-92,46386696458548,-108,46386696458564,-364,-388,-380,-284,-116,-284,-364,-284,-364,-704193468852,-12,0,8,404,12,-46386696458572,8,-12,12,412,-60,12,-52,-44,44
58,0x55ce13add1a4,W,0x7ffe523e9110,1,-296,-12,-296,-96,46386696458536,-112,46386696458552,-128,-400,-384,-296,-120,-296,-128,-296,-376,-704193468840,72,0,20,416,-56,-46386696458560,-56,0,48,-46386696458560,-48,20,-40,-24,56
60,0x55ce13add1a8,R,0x7f5a5d0af768,1,-704193469136,-704193468840,-704193469136,-704193468928,45682502989696,-704193468944,45682502989712,-704193468960,-704193469240,-704193469216,-704193469136,-704193469232,-704193469136,-704193468960,-704193469136,-704193468968,704193468852,704193468912,704193468840,704193468864,704193469256,704193468860,-45682502989720,704193468864,704193469264,704193468888,704193468864,704193468792,704193468808,704193468800,704193468816,704193468808
62,0x55ce13add1b1,W,0x7ffe523e9158,1,704193468912,72,-224,60,46386696458608,-24,46386696458624,-40,-328,-56,-224,-312,-224,-40,-224,-48,-60,-52,-72,-128,344,-128,-72,-48,-46386696458632,-24,-52,-120,-104,-16,-88,-104
67,0x55ce13add1bd,W,0x7ffe523e9124,1,704193468860,-52,-276,8,46386696458556,-68,46386696458572,-84,-380,-100,-276,-356,-276,-372,-276,-92,-8,4,-20,0,-46386696458580,-76,404,4,4,28,0,-60,-44,36,-36,-44
69,0x55ce13add1c4,W,0x7ffe523e9128,1,704193468864,4,-272,24,-272,-64,46386696458576,-72,-376,-88,-272,-104,-272,-360,-272,-80,-12,-80,392,-4,-24,-80,-46386696458584,0,0,-72,-56,-64,-48,-56,-32,-48
71,0x55ce13add1cb,R,0x7ffe523e911c,1,704193468852,-12,-284,-60,-284,0,46386696458548,-84,-388,-92,-284,-108,-284,-364,-284,-380,-12,-68,-46386696458572,8,412,-68,-46386696458572,36,8,-60,-44,44,-28,-44,-28,-36
74,0x55ce13add1d1,R,0x7ffe523e9110,1,-12,-24,-296,-20,-296,0,46386696458536,-88,46386696458552,-104,-296,-112,-296,-128,-296,-384,416,-56,0,20,424,24,24,48,20,-40,-24,56,-8,-32,-16,-16
77,0x55ce13add1d9,R,0x7ffe523e92b0,1,416,392,704193469256,396,120,344,46386696458952,404,46386696458968,320,16,304,120,296,120,40,-46386696458976,-472,-416,-472,-46386696458976,-392,-392,-464,-448,-456,-432,-360,-424,-440,-472,-432
80,0x55ce13add1df,W,0x7ffe523e90d8,1,-472,-80,-68,-76,-352,-128,46386696458480,-56,46386696458496,-144,-456,-160,704193468784,-176,-352,-184,-46386696458504,76,480,0,-46386696458504,104,76,8,32,16,40,24,40,32,0,48
83,0x55ce13add094,R,0x55ce13adffd0,1,-46386696458976,-46386696458504,-46386696458560,-46386696458580,-45682502989720,-46386696458632,-46386696458856,-46386696458560,-8,-46386696458572,-46386696458960,-46386696458656,-45682502989720,-46386696458672,-45682502989720,-46386696458688,46386696458560,46386696458580,46386696458984,46386696458584,46386696458584,46386696458608,46386696458528,46386696458512,46386696458536,46386696458616,46386696458552,46386696458528,46386696458544,46386696458544,46386696454408,46386696458552
85,0x55ce13add1e4,W,0x7ffe523e9124,1,46386696458580,76,20,-4,8,-52,-276,20,46386696458556,8,-380,-68,704193468860,-84,704193468860,-100,-20,-76,-46386696458580,4,0,28,-52,-60,-36,36,-28,-44,-76,-36,8,-28
87,0x55ce13add1e7,R,0x7ffe523e9110,1,46386696458560,-20,-416,-24,-12,-20,704193468840,0,-296,-12,46386696458552,-88,704193468840,-96,704193468840,-112,424,-56,24,24,20,-48,-24,-40,-16,-32,-16,-24,-4152,-16,28,-56
90,0x55ce13add1ef,R,0x7ffe523e92b8,1,424,404,8,480,424,404,704193469264,352,128,412,46386696458960,336,24,328,704193469264,320,-46386696458984,-480,-400,-376,-456,-472,-448,-368,-432,-456,-480,-448,-4576,-432,-396,-4576
93,0x55ce13add1f5,W,0x7ffe523e90d8,1,-480,-76,46386696458504,0,-56,-80,-68,-128,-352,-56,-352,-144,46386696458496,-152,-68,-160,-46386696458504,80,76,104,24,16,40,112,40,24,0,40,-4096,0,84,120
96,0x55ce13add094,R,0x55ce13adffd0,1,-46386696458984,-46386696458504,-46386696458560,-46386696458504,-46386696458976,-46386696458584,-46386696458572,-46386696458580,-45682502989720,-46386696458560,-46386696458856,-46386696458572,-24,-46386696458656,-46386696458960,-46386696458664,46386696458584,46386696458584,46386696458580,46386696458512,46386696458536,46386696458520,46386696458552,46386696458616,46386696458544,46386696458536,46386696458504,46386696458552,46386696454408,46386696454408,46386696458588,46386696458588
98,0x55ce13add1fa,W,0x7ffe523e9128,1,46386696458584,80,24,4,46386696458584,0,24,4,704193468864,-48,-272,12,46386696458560,-64,46386696458576,-80,0,24,-56,-72,-40,-64,-32,-56,-40,-40,-80,-80,-4176,40,4,8
100,0x55ce13add1fd,R,0x7ffe523e9128,1,46386696458584,0,-400,4,46386696458584,80,-392,4,12,-48,-272,24,-272,-64,46386696458576,-72,-4,24,-48,-72,-40,32,-32,-48,-40,-32,-80,-4176,-4176,4,4,-6472
102,0x55ce13add200,R,0x7ffe523e9124,1,-4,-4,-404,76,20,76,-396,-4,20,-52,704193468860,20,-276,8,46386696458556,-76,-52,28,-44,-60,-36,-52,-28,-36,-36,-76,-76,44,-4172,12,8,12
106,0x55ce13add20a,W,0x7ffe523e9140,1,28,24,46386696458608,104,48,28,46386696458608,24,48,28,36,48,-248,36,46386696458584,-40,-80,-96,-72,8,-64,-72,-56,-56,-64,-4200,-104,-20,-4200,-6496,-20,-6492
109,0x55ce13add211,W,0x7ffe523e90e0,1,-68,-96,-72,8,-472,-68,46386696458512,8,-464,-68,-60,-120,704193468792,-60,-344,-136,16,8,24,16,32,32,40,-8,32,112,-8,80,-4104,80,68,-6396
111,0x55ce13add218,W,0x7ffe523e90e8,1,-60,8,-64,-64,46386696458520,-60,-40,16,-456,-64,-40,-112,704193468800,-40,-336,-128,8,96,16,16,24,32,32,-4112,24,68,-16,-6408,68,72,72,-6404
117,0x55ce13add235,W,0x7ffe523e9148,1,36,96,32,8,46386696458616,112,-368,112,46386696458616,32,56,36,44,56,-240,44,-88,-88,-80,-72,-72,-112,-64,8,-72,-24,-4208,-6504,-36,-24,-32,-6500
120,0x55ce13add23c,W,0x7ffe523e90f0,1,-52,-88,-56,16,46386696458528,-56,-456,-52,-32,-56,-448,-52,-44,-104,704193468808,-44,0,8,8,24,16,-4120,24,60,-24,64,60,-6416,64,64,60,-6412
122,0x55ce13add243,W,0x7ffe523e90f8,1,-44,8,-48,16,46386696458536,-72,-448,32,-24,32,46386696458536,-44,-24,-96,704193468816,-24,-8,8,0,-32,8,88,8,52,-4128,56,44,-6424,48,56,56,-6420
125,0x55ce13add251,W,0x7ffe523e9100,1,-36,8,-40,-72,46386696458544,32,-440,-40,-16,-36,46386696458544,-40,-432,-88,-28,-16,-16,8,-8,-4136,8,80,-40,44,44,48,48,-6432,44,48,80,-6428
127,0x55ce13add258,W,0x7ffe523e9108,1,-28,8,-32,24,46386696458552,32,-432,-56,-8,48,46386696458552,48,-424,-28,-8,-8,-24,-48,-8,-4144,-8,72,-4144,36,28,40,32,-6440,40,40,72,40
129,0x55ce13add263,R,0x7ffe523e90f0,1,-52,-24,-56,-8,46386696458528,-88,-456,16,-32,-56,46386696458528,-52,-448,-56,-32,-104,8,-24,24,-4120,-24,96,60,60,64,64,60,-6416,64,-6412,64,64
131,0x55ce13add26a,R,0x7ffe523e90f8,1,8,-16,-48,-8,46386696458536,8,-448,16,-24,-72,46386696458536,32,-440,32,-24,-44,8,-32,8,-4128,-4128,88,44,52,48,56,52,56,88,-6420,56,-6416
134,0x55ce13add274,R,0x7ffe523e9100,1,8,-8,-36,0,46386696458544,8,-440,-72,-16,32,46386696458544,-40,-432,-36,-16,-40,8,-40,-40,-4136,44,80,48,44,40,-6432,48,48,80,48,48,48
136,0x55ce13add27c,R,0x7ffe523e9108,1,8,0,24,8,-32,16,-432,24,-8,32,46386696458552,-56,-424,48,-8,48,-8,-48,-4144,-4144,28,72,40,40,36,-6440,40,-6436,72,-6432,40,-6428
141,0x55ce13add28e,R,0x7ffe523e9100,1,-8,-8,8,0,-36,8,46386696458544,16,-16,-72,46386696458544,32,-432,-40,-16,-36,-40,-40,44,-4136,36,44,40,48,44,48,48,48,80,48,44,-6420
178,0x55ce13add31c,R,0x7ffe523e90d8,1,-40,-48,-40,-40,-24,-32,-80,-24,-480,-112,46386696458504,-16,-472,-104,-56,0,-4096,0,84,120,88,84,80,-6392,84,-6388,88,-6384,88,88,88,-6380
179,0x55ce13add31c,W,0x7ffe523e90d8,1,0,-48,-48,-40,-32,-32,-76,-24,46386696458504,-112,-56,-16,-472,-8,-56,-80,-4096,-4096,76,120,88,88,80,88,84,88,120,-6384,84,88,88,88
194,0x55ce13add34d,R,0x7ffe523e80d8,1,-4096,-4096,-4136,-4136,-4136,-4128,-4120,-4120,-4176,-4208,-4576,-4112,46386696454408,-4104,-4152,-4200,4180,0,4172,4180,4184,-2296,4176,-2292,4184,4184,4184,-2288,4180,-2284,4184,4184
195,0x55ce13add34d,W,0x7ffe523e80d8,1,0,-4096,-4136,-4144,-4144,-4128,-4128,-4120,-4172,-4208,46386696454408,-4112,-4152,-4104,-4568,-4200,4180,4216,4172,4184,4184,4184,4180,-2292,4216,4184,4184,4184,4184,-2284,4176,4184
201,0x55ce13add360,W,0x7ffe523e9150,1,4216,4216,120,72,72,80,80,96,96,8,40,104,-360,112,46386696458624,16,-36,-36,-44,-6512,-40,-32,-32,-6508,0,-6504,-36,-32,-32,-6500,-36,-32
203,0x55ce13add364,W,0x7ffe523e912c,1,4180,-36,84,84,44,44,44,52,52,-28,8,68,46386696458588,76,28,-20,0,4,4,-6476,0,4,4,4,4,-6468,4,4,-4,-6464,4,4
206,0x55ce13add3b0,R,0x7ffe523e912c,1,4180,0,84,4180,44,36,36,52,52,60,60,68,4,76,-396,-20,-8,4,-4,-6476,0,-6472,36,4,0,-6468,4,4,0,-6464,36,4
208,0x55ce13add3b3,R,0x7ffe523e9124,1,-8,-8,76,-44,36,76,28,36,36,52,52,-36,0,68,46386696458580,-28,12,12,4,12,12,-6464,12,12,12,-6460,4,12,12,-6456,12,12
211,0x55ce13add36d,W,0x7ffe523e9130,1,12,4,4184,-32,48,4184,40,40,48,56,56,-24,12,72,8,-16,0,-6480,-4,0,32,-6476,-4,0,0,-6472,-4,0,32,-6468,-4,0
214,0x55ce13add3a4,R,0x7ffe523e9130,1,12,0,4,-32,88,4184,40,88,48,48,56,64,64,72,8,80,-8,-6480,0,0,0,-6476,0,0,-8,-6472,0,0,0,-6468,-4,-6464
216,0x55ce13add3a7,R,0x7ffe523e9128,1,-8,-8,-4,-4,4176,4176,40,80,40,32,48,48,56,-32,4,72,4,-6472,40,8,4,-6468,8,8,4,-6464,40,8,8,8,8,-6456
221,0x55ce13add37d,R,0x7ffe523e912c,1,4,-4,8,0,4180,-36,84,84,36,36,52,44,60,60,8,68,4,-6476,4,4,4,-6472,-4,4,4,-6468,36,-6464,0,4,4,4
223,0x55ce13add380,R,0x7ffe523e9130,1,4,0,0,4,4,-32,88,4184,48,40,48,48,64,56,12,-24,32,-6480,-4,0,0,-6476,-4,0,0,0,0,-6468,-4,-6464,0,0
226,0x55ce13add386,R,0x7ffe523e9150,1,32,32,40,36,44,0,4216,4216,80,120,72,80,88,88,44,96,-32,-6512,-32,-32,-40,-6508,-36,-6504,0,-32,-32,-32,-32,-6496,-40,-32
