Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_2_last_read_mean,Delta_with_2_last_read_std,Delta_with_2_last_read_median,Delta_with_2_last_read_unique,Delta_with_2_last_read_zeros_frac,Delta_with_2_last_read_entropy,Delta_with_2_last_read_mode,Delta_with_2_last_read_mode_count,Delta_with_2_last_read_ac_first_peak,Delta_with_2_last_read_fft_dom_bin,Delta_with_2_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,Delta_with_2_last_write_mean,Delta_with_2_last_write_std,Delta_with_2_last_write_median,Delta_with_2_last_write_unique,Delta_with_2_last_write_zeros_frac,Delta_with_2_last_write_entropy,Delta_with_2_last_write_mode,Delta_with_2_last_write_mode_count,Delta_with_2_last_write_ac_first_peak,Delta_with_2_last_write_fft_dom_bin,Delta_with_2_last_write_fft_dom_power,start,length,Target,Fine grained Target
1.0271767329949086,11.620608152222474,0.0,50,0.11,2.862000056283663,1.6094379124341005,14,13,16,232.4393053467631,-1.144849336473558,10.190255556552552,-1.6094379124341005,49,0.15,2.5669583540196865,0.0,15,0,20,215.377635294467,-1.8123181563174031,7.397957151707896,-1.6094379124341005,38,0.2,2.7181944047609075,0.0,20,5,1,155.2777052656828,-0.1387823550184674,8.013918005664852,1.6094379124341005,45,0.16,1.968606323917285,0.0,16,2,1,238.83295018217052,0,100,5,1
-0.3921592282573341,2.7471776854066894,0.0,17,0.18,2.5440450045190146,1.6094379124341005,29,10,50,138.85140603912745,-0.1912114543811987,2.570171868456314,0.0,17,0.28,2.258246290629528,-1.6094379124341005,29,5,20,138.67588601244253,0.3549240069835429,3.51519091771358,0.0,23,0.31,2.204181917540973,0.0,31,5,20,199.2014492354654,3.882939415894354,3.123919465209513,6.115892125483034,27,0.2,1.6397825053440265,0.0,20,10,10,134.4066984663884,50,100,5,1
-0.5071582014035994,2.7238971728070456,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,152.83472961837157,-0.4067278640436591,2.513457888269808,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,147.69436759787175,0.4182635244496328,3.635904901274323,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,210.96698180347585,4.436707281156802,2.5870809316666903,6.07993319509559,22,0.2,1.156779649650473,0.0,20,10,10,125.07001645659288,100,100,5,1
-0.5025351828266911,2.714436520651459,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,152.3724277606807,-0.4024602611544106,2.5036846501137298,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,147.27877610732443,0.4136828956566921,3.613385052893929,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,209.98262632529523,4.404827172591559,2.566503012415219,6.0330862217988015,22,0.2,1.156779649650473,0.0,20,10,10,124.11978439638376,150,100,5,1
-0.4976878639404099,2.704557820671232,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,151.88769587205263,-0.3980022586366339,2.493504768501775,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,146.84471137069627,0.4088821629661804,3.5898136733854624,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,208.9509715987332,4.371423213675352,2.544948398555065,5.983936280687191,22,0.2,1.156779649650473,0.0,20,10,10,123.12530516254242,200,100,5,1
-0.4925933450229099,2.6942210443049768,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,151.3782439803026,-0.3933360576714657,2.4828820391601463,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,146.39045041678395,0.4038390828375544,3.5650867759718343,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,207.8672375986428,4.336342124834552,2.5223195948669206,5.932245187448011,22,0.2,1.156779649650473,0.0,20,10,10,122.08224439073248,250,100,5,1
-0.4872250264080133,2.683380024838616,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,150.84141211881297,-0.3884412386810305,2.4717751368030467,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,145.91401701598417,0.3985278562599818,3.539084064972834,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,206.7258802475092,4.299406225072151,2.4985037271881883,5.877735781779639,22,0.2,1.156779649650473,0.0,20,10,10,120.9855961533978,300,100,5,1
-0.4815517649167121,2.67198112079515,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,150.27408596968283,-0.3832942196593503,2.460136593672915,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,145.41312941050353,0.3929183273086439,3.5116653242543774,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,205.5204191893672,4.260407950067549,2.4733691264682527,5.820082930352362,22,0.2,1.156779649650473,0.0,20,10,10,119.82953623342613,350,100,5,1
-0.4755367749644423,2.6599614915050376,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,149.67258697445584,-0.3778675667557589,2.4479115084636645,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,144.88513380493774,0.3869749420480858,3.4826657441918045,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,204.24321406356336,4.21910273527245,2.446760908313463,5.75890177387728,22,0.2,1.156779649650473,0.0,20,10,10,118.60723287418828,400,100,5,1
-0.4691361754668252,2.647246840562352,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,149.03252702469413,-0.3721291058908609,2.4350358950291344,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,144.32691868621,0.3806553761668402,3.4518897882850714,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,202.8851695906229,4.175199640031831,2.418495171373546,5.6937321388027,22,0.2,1.156779649650473,0.0,20,10,10,117.31059925188973,450,100,5,1
