mean,std,median,unique,zeros_frac,entropy,mode,mode_count,ac_first_peak,fft_dom_bin,fft_dom_power,w_mean,w_std,start,length
-0.860208243749738,5.139875781213531,0.0,88,0.472,2.3481027161462142,0.0,236,8,250,832.0474859186677,0.6974923975352347,5.245722758760053,0,500
-1.0963706967944415,2.8597448772994922,0.0,67,0.5,1.9999769169898727,0.0,250,2,250,947.3259506808776,1.07598338872188,4.475427150134723,250,500
-1.0785347745883596,2.8336280130638145,0.0,67,0.502,1.9959711234251976,0.0,251,2,250,938.4079895778366,1.0785347745883596,4.4293715762622865,500,500
-1.048057512945858,2.798947293537765,0.0,66,0.5,1.999976917461543,0.0,250,2,250,929.6071104063224,1.06844482101842,4.348420670894612,750,500
-1.0398970910340903,2.7696081647661157,0.0,66,0.498,2.0039711695530347,0.0,249,2,250,925.5268994504385,1.0398970910340903,4.274326891069591,1000,500
-1.0403038372864464,2.740702433340531,0.0,67,0.5,1.9999769169898727,0.0,250,2,250,919.29252092688,1.0209142343138247,4.218913082703513,1250,500
-1.0153233232751082,2.7001156959124937,0.0,67,0.502,1.995971123385888,0.0,251,2,250,906.802263921211,1.0153233232751082,4.139825129985495,1500,500
-0.9765351254748741,2.6483513318406837,0.0,66,0.5,1.9999769174222368,0.0,250,2,250,893.8459166708302,0.9959247284474959,4.018615213804916,1750,500
-0.9558271940077562,2.594687597664637,0.0,66,0.498,2.0039711695137328,0.0,249,2,250,883.4919509372712,0.9558271940077562,3.8883586165443194,2000,500
-0.9358335712853152,2.5274916875811124,0.0,67,0.5,1.9999769169505668,0.0,250,2,250,867.0573879263144,0.9185255828194984,3.746234737436731,2250,500
-0.8799529207359545,2.429437643972828,0.0,67,0.502,2.128763170547345,0.0,251,2,250,839.1170626516341,0.8799529207359545,3.529823079791363,2500,500
-0.7510795968103287,2.3619220507623204,0.0,72,0.49,2.3750426065910686,0.0,245,2,250,767.497401541296,0.7397013081467763,3.1537517513227353,2750,500
-0.34883896904176825,3.1933292407980347,0.0,95,0.406,2.8142875609595293,0.0,203,6,167,470.0930374243907,-0.08517189846716706,2.939899569721914,3000,500
-0.03537554262174659,3.8332129773433965,0.0,114,0.336,2.4153328518970905,0.0,168,9,167,762.9337573859214,-0.8077985771607713,2.804922017765916,3250,500
-0.030274099929302488,3.827454071854164,0.0,116,0.334,2.4205070920142466,0.0,167,9,167,766.3056684693155,-0.8121122461434316,2.7994927511967416,3500,500
-0.032212769520130566,3.7960491436053885,0.0,116,0.332,2.4216900491390816,0.0,166,9,167,758.3767790164527,-0.8041360223469808,2.7783128745151298,3750,500
-0.051332011687027626,3.74637929943962,0.0,115,0.332,2.4196770517106825,0.0,166,3,167,748.7452920844116,-0.7927020712453707,2.7560620796045217,4000,500
-0.02905835868306394,3.691119406367911,0.0,114,0.334,2.4185200894427283,0.0,167,3,167,738.7623535224985,-0.7613832778880024,2.7210281992799343,4250,500
-0.01645795261843343,3.6540625067812114,0.0,115,0.336,2.4173198544297176,0.0,168,3,167,730.2608055458327,-0.7556950198672637,2.688645985587263,4500,500
-0.03561362538042565,3.6171692765413317,0.0,116,0.332,2.421690049139082,0.0,166,3,167,725.5883421773639,-0.7590203716864263,2.6697370797409796,4750,500
-0.03760564989997721,3.5621816292339914,0.0,116,0.33,2.4228296293950584,0.0,165,3,167,717.5931751104717,-0.7431898925613102,2.6374277660209713,5000,500
-0.03770089448548016,3.471355865015608,0.0,114,0.334,2.4165070919754394,0.0,167,3,167,702.0870678923184,-0.7057743406503421,2.5867627897817274,5250,500
-0.03594620262965513,3.3868203531572094,0.0,114,0.336,2.415332851819309,0.0,168,3,167,680.9077413190932,-0.6892153997075787,2.5371008676014117,5500,500
-0.031079507519318112,3.3088547687126915,0.0,116,0.334,2.420507091936476,0.0,167,3,167,670.877360572529,-0.6726647161001785,2.4896178484262936,5750,500
-0.03345321326540061,3.180380397756495,0.0,116,0.332,2.4216900490613136,0.0,166,3,167,644.9995819979588,-0.6370210742959834,2.4122083564250603,6000,500
-0.04838385759600013,2.9760158965786094,0.0,115,0.332,2.546434602233457,0.0,166,3,167,607.9499369547514,-0.5783138388563902,2.2981206132792527,6250,500
