Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,start,length,Target,Fine_grained_Target
1.71333235740682,12.9214003390962,0,52,0.11,2.9586008138802,0,11,5,22,257.021213933229,-2.5872660947596,7.67216160312645,-2.19722457733622,35,0.14,3.11973719155614,-2.19722457733622,18,5,37,145.719742035022,0,100,1,1
-0.177371783245598,2.60913725440969,0,18,0.17,2.45661052797154,0,17,5,26,64.6159860268424,-0.845147035511729,2.77046167886504,-1.6094379124341,16,0.23,2.46183726577869,0,23,31,26,87.6929293045578,50,100,1,1
-0.291090655535164,2.49655294242432,0,14,0.18,2.34956950069423,0,18,5,39,76.1944506774877,-0.818682409188421,2.69020894524448,-1.6094379124341,13,0.24,2.26912449292028,-1.6094379124341,26,31,26,85.3043811781333,100,100,1,1
-0.234208402125535,2.45262296507387,0,14,0.21,2.3433586415828,0,21,5,39,68.7627891467057,-0.861100564279977,2.66625160923751,-1.6094379124341,13,0.22,2.22788738782341,-1.6094379124341,27,31,26,86.6273333289393,150,100,1,1
-0.366534298177529,2.55030905903163,0,15,0.19,2.3737214534234,0,19,15,39,72.4440790343563,-0.785401737659379,2.94510462654741,-1.6094379124341,15,0.22,2.30353828703561,-1.6094379124341,25,31,26,99.8413514330248,200,100,1,1
-0.263774713644401,2.49195386747811,0,14,0.19,2.33021655962104,0,19,5,39,77.8613679246566,-0.869902316222506,2.67881976243938,-1.6094379124341,13,0.23,2.26526159066551,-1.6094379124341,25,31,26,83.7747034339688,250,100,1,1
-0.297372522120372,2.48013215743952,0,14,0.2,2.32225144024166,0,20,16,39,74.9777661036568,-0.916663120887221,2.66425229129019,-1.6094379124341,13,0.22,2.22932545633145,-1.6094379124341,27,31,26,85.1924199107775,300,100,1,1
-0.34767858792825,2.55190732286483,0,15,0.18,2.39267909683758,0,18,5,39,79.2594093741153,-0.787372038091253,2.84954236681917,-1.6094379124341,15,0.23,2.30919443437875,-1.6094379124341,26,31,26,93.1664983163325,350,100,1,1
-0.256856665189559,2.46374496433371,0,14,0.2,2.33860457097806,0,20,16,39,68.3760343411185,-0.860241895200034,2.66723715059864,-1.6094379124341,13,0.23,2.25195327800466,-1.6094379124341,25,31,26,88.5378992427809,400,100,1,1
-0.333702816067821,2.45904592983561,0,14,0.2,2.33254005624272,0,20,5,39,80.5367738847535,-0.824654753501629,2.76803962476929,-1.6094379124341,14,0.22,2.24277704484291,-1.6094379124341,26,31,26,95.2075708811508,450,100,1,1
-0.296820305876173,2.45188678009469,0,15,0.2,2.32225144024166,0,20,11,26,59.7954753547871,-0.874561854339514,2.66244879583765,-1.6094379124341,14,0.22,2.24277704484291,-1.6094379124341,26,31,26,79.5641924366034,500,100,1,1
-0.244174043075673,2.46606175032752,0,15,0.2,2.32379883146975,0,20,16,26,67.0702018166443,-0.852817532083042,2.65864610133759,-1.6094379124341,14,0.23,2.25195327800466,-1.6094379124341,26,31,26,88.8067770330093,550,100,1,1
-0.252977641541093,2.48157556304846,0,14,0.19,2.34099914430204,0,19,5,39,76.8883708233925,-0.856788771326352,2.66085860757518,-1.6094379124341,13,0.23,2.25195327800466,-1.6094379124341,26,31,26,82.462289903245,600,100,1,1
-0.296121143877941,2.47676731949065,0,14,0.2,2.32225144024166,0,20,16,39,74.9417682335253,-0.90181539191094,2.65466405678154,-1.6094379124341,13,0.23,2.2385016894932,-1.6094379124341,26,31,26,84.6679222582626,650,100,1,1
-0.329906143861261,2.54460750900826,0,15,0.19,2.3881318952727,0,19,15,39,79.5706274150514,-0.703204558293618,2.93872067706456,-1.6094379124341,15,0.23,2.33353436286073,-1.6094379124341,25,31,26,95.5925327446175,700,100,1,1
-0.271685264093932,2.46384074887973,0,14,0.19,2.34502229912935,0,19,16,39,69.8230072826484,-0.877597217186656,2.65655580675122,-1.6094379124341,13,0.22,2.24277704484291,-1.6094379124341,26,31,26,86.9485866533752,750,100,1,1
-0.358076742482763,2.465385445204,0,14,0.19,2.32608577012861,0,19,5,39,78.2912935609586,-0.926115421830772,2.65286874248823,-1.6094379124341,13,0.22,2.22932545633145,-1.6094379124341,26,31,26,84.9634533368427,800,100,1,1
-0.219852212330932,2.48211469890366,0,14,0.19,2.34607211067275,0,19,5,39,74.9034673867284,-0.81118219703237,2.68033526549582,-1.6094379124341,13,0.23,2.28767914869904,-1.6094379124341,25,31,26,86.0647910769175,850,100,1,1
-0.253433230744855,2.47080451895907,0,14,0.2,2.33860457097806,0,20,16,39,72.1509214337986,-0.888404887916068,2.63919881507307,-1.6094379124341,13,0.23,2.22484984555119,-1.6094379124341,27,31,26,84.8744301376768,900,100,1,1
-0.425483922879302,2.52888575679485,0,15,0.19,2.37104181059848,0,19,5,39,76.749507243668,-0.7890719994023,2.91800535569471,-1.6094379124341,15,0.22,2.30353828703561,-1.6094379124341,25,31,26,99.0941231062174,950,100,1,1
-0.280588315927675,2.46208129038385,0,15,0.2,2.30583939150426,0,20,5,26,57.413527488484,-0.860341273925058,2.64753991426996,-1.6094379124341,14,0.23,2.25195327800466,-1.6094379124341,25,31,26,75.9670284632884,1000,100,1,1
-0.235918144522174,2.45503355250026,0,15,0.2,2.32379883146975,0,20,5,39,72.401248042774,-0.844489568133412,2.63604657312909,-1.6094379124341,14,0.23,2.37514353677854,-1.6094379124341,26,31,26,86.2350147628926,1050,100,1,1
-0.226419223427292,2.46471172876562,0,14,0.19,2.34607211067275,0,19,5,39,74.0267330552383,-0.840846869216863,2.65395749271624,-1.6094379124341,13,0.22,2.42052185677037,-1.6094379124341,26,31,26,84.34137621698,1100,100,1,1
-0.304327051079816,2.4778543288823,0,14,0.19,2.32866916839295,0,19,5,39,76.7092655189677,-0.905470039780833,2.64051064564423,-1.6094379124341,13,0.23,2.40466271843379,-1.6094379124341,26,31,26,84.7872757324931,1150,100,1,1
-0.270932060252574,2.48229595006873,0,14,0.19,2.34502229912935,0,19,5,39,77.7259164245784,-0.828608797409062,2.65980763683945,-1.6094379124341,13,0.24,2.42731639820743,-1.6094379124341,25,31,26,84.969972808031,1200,100,1,1
-0.260557652691799,2.45728037528119,0,14,0.2,2.33860457097806,0,20,5,39,71.2735096582698,-0.873653575975724,2.63851109715456,-1.6094379124341,13,0.22,2.39548648527205,-1.6094379124341,27,31,26,86.0987553055463,1250,100,1,1
-0.361040755016044,2.53613387286817,0,15,0.19,2.3737214534234,0,19,15,39,72.3506686056917,-0.79087377471358,2.9047350725554,-1.6094379124341,15,0.22,2.46173019232276,-1.6094379124341,25,31,26,98.7273087698914,1300,100,1,1
-0.291818918484506,2.45627332256539,0,14,0.2,2.33464246706525,0,20,5,39,75.418591259596,-0.89600279446913,2.64702741875386,-1.6094379124341,13,0.22,2.42258991772551,-1.6094379124341,25,31,26,81.3221276406022,1350,100,1,1
-0.309289315097161,2.47224099947575,0,14,0.19,2.32866916839295,0,19,5,39,76.4208059485253,-0.920824125001747,2.63019439313703,-1.6094379124341,13,0.22,2.38855891121163,-1.6094379124341,27,31,26,84.310182042704,1400,100,1,1
-0.325980544308473,2.55482991668913,0,15,0.18,2.37987348612612,0,18,31,39,79.8637510939556,-0.859890711626943,2.7058007121311,-1.6094379124341,14,0.24,2.4362823677295,-1.6094379124341,26,31,26,85.6931600008864,1450,100,1,1
-0.290819029001312,2.44419327056948,0,15,0.2,2.32225144024166,0,20,5,26,54.4866566218118,-0.862339954809619,2.63128676372647,-1.6094379124341,14,0.23,2.40466271843379,-1.6094379124341,25,31,26,77.5536013067468,1500,100,1,1
-0.194058945520052,2.37340101535564,0,14,0.2,2.28809501639664,0,20,5,39,63.9389181940062,-0.810222698191742,2.56210566952747,-1.6094379124341,13,0.23,2.36369106650177,-1.6094379124341,26,31,26,76.9067831359526,1550,100,1,1
-0.228700385744079,2.43758172085549,0,14,0.21,2.3433586415828,0,21,5,39,68.5944454581983,-0.866586622498407,2.62142792577548,-1.6094379124341,13,0.22,2.37352997695291,-1.6094379124341,27,31,26,85.4625426812336,1600,100,1,1
-0.359145846564743,2.53129233452972,0,15,0.19,2.3737214534234,0,19,15,39,72.3190122965644,-0.792760555833165,2.89086249519931,-1.6094379124341,15,0.22,2.46173019232276,-1.6094379124341,25,31,26,98.3431950815923,1650,100,1,1
-0.258199752212604,2.47706473380229,0,14,0.19,2.33021655962104,0,19,5,39,77.7813158279159,-0.87545478203849,2.63372301497554,-1.6094379124341,13,0.23,2.4314226196061,-1.6094379124341,25,31,26,82.5932541255076,1700,100,1,1
-0.291752016530601,2.46514418852672,0,14,0.2,2.5573845244481,0,20,5,39,74.8172100786368,-0.922260761489486,2.61848464688255,-1.6094379124341,13,0.22,2.38855891121163,-1.6094379124341,27,31,26,84.0055972497435,1750,100,1,1
-0.340138304712039,2.53251493298022,0,15,0.18,2.61983697164726,0,18,5,39,79.0654049557756,-0.792992543681024,2.79763000534083,-1.6094379124341,15,0.23,2.45483702350826,-1.6094379124341,26,31,26,91.7175887294162,1800,100,1,1
-0.251166426544897,2.44840341122474,0,14,0.2,2.55190205959005,0,20,16,39,68.2596149114122,-0.865908697453447,2.62115358491499,-1.6094379124341,13,0.23,2.40466271843379,-1.6094379124341,25,31,26,87.3354780789278,1850,100,1,1
-0.327965116436411,2.44374620473158,0,14,0.2,2.54911848467027,0,20,5,39,80.331563069131,-0.832257536446598,2.7180636427422,-1.6094379124341,14,0.22,2.40096895013006,-1.6094379124341,26,31,26,93.8155203764502,1900,100,1,1
-0.261910604261921,2.45204444275058,0,14,0.19,2.56569155580443,0,19,5,39,75.6837853878739,-0.862183933005682,2.6170154949344,-1.6094379124341,13,0.23,2.4101451832918,-1.6094379124341,26,31,26,81.3145930926326,1950,100,1,1
-0.238363643961146,2.4504294939127,0,15,0.2,2.53709632008174,0,20,16,39,63.7354417937047,-0.858603493566084,2.61158504445171,-1.6094379124341,14,0.23,2.40466271843379,-1.6094379124341,26,31,26,79.406367067251,2000,100,1,1
-0.276290569264447,2.45062705397767,0,15,0.2,2.52241781993181,0,20,23,26,61.7123983456906,-0.880714791406122,2.61238502915574,-1.6094379124341,14,0.22,2.39548648527205,-1.6094379124341,26,4,26,76.2400336647554,2050,100,1,1
-0.290236173357711,2.46115738491498,0,14,0.2,2.5573845244481,0,20,5,39,74.7744040898437,-0.907675292846573,2.60689897855625,-1.6094379124341,13,0.23,2.39773514437338,-1.6094379124341,26,31,26,83.423731988651,2100,100,1,1
-0.322008750155662,2.5243233175306,0,15,0.19,2.61528977008238,0,19,5,39,79.380494958377,-0.711068091129844,2.88136090047744,-1.6094379124341,15,0.23,2.47917695199024,-1.6094379124341,25,31,26,93.9990012322394,2150,100,1,1
-0.265723776762367,2.44791565772781,0,14,0.19,2.55831978774135,0,19,16,39,69.706778353856,-0.883532978064172,2.6083448657881,-1.6094379124341,13,0.22,2.39548648527205,-1.6094379124341,26,31,26,85.6902143074597,2200,100,1,1
