Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
69,0x55730dd0f1a1,W,0x7ffdd7b5a0cc,1,371452356964,4,-268,28,-268,-60,46775581049076,-68,-372,-84,-268,-100,-268,-356,-268,-76,-16,-68,388,-4,-28,-68,-46775581049084,0,-4,-44,-4,-36,-4164,-52,4,-68
71,0x55730dd0f1a8,R,0x7ffdd7b5a0bc,1,371452356948,-16,-284,-60,-284,0,46775581049044,-84,-388,-92,-284,-108,-284,-364,-284,-380,-12,-52,-46775581049068,12,412,-52,-46775581049068,28,-52,-28,12,-44,12,-36,20,-52
74,0x55730dd0f1ae,R,0x7ffdd7b5a0b0,1,-12,-28,-296,-24,-296,0,46775581049032,-88,46775581049048,-104,-296,-112,-296,-128,-296,-384,416,-40,0,24,424,28,24,40,-40,-8,-4136,-32,32,-24,32,48
77,0x55730dd0f1b6,R,0x7ffdd7b5a250,1,416,388,371452357352,392,120,344,46775581049448,404,46775581049464,320,16,304,120,296,120,40,-46775581049472,-456,-416,-456,-46775581049472,-388,-392,-432,-392,-424,-392,-448,-384,-456,-388,-368
80,0x55730dd0f1bc,W,0x7ffdd7b5a088,1,-456,-68,-52,-64,-336,-112,46775581048992,-40,46775581049008,-128,-440,-144,371452356896,-160,-336,-168,-46775581049016,64,464,0,-46775581049016,80,0,24,-4096,32,64,16,72,0,68,96
83,0x55730dd0f074,R,0x55730dd11fd0,1,-46775581049472,-46775581049016,-46775581049056,-46775581049080,-46404128692120,-46775581049128,-46775581049352,-46775581049056,-8,-46775581049068,-46775581049456,-46775581049152,-46404128692120,-46775581049168,-46404128692120,-46775581049184,46775581049056,46775581049080,46775581049480,46775581049084,46775581049080,46775581049096,46775581049080,46775581049040,46775581044920,46775581049024,46775581049088,46775581049032,46775581049088,46775581049104,46775581049080,46775581049112
85,0x55730dd0f1c1,W,0x7ffdd7b5a0c8,1,46775581049080,64,24,-4,12,-48,-272,24,46775581049056,12,-376,-64,371452356960,-80,371452356960,-96,-24,-64,-46775581049080,4,-64,16,0,-32,0,-56,8,-64,4,24,0,-4160
87,0x55730dd0f1c4,R,0x7ffdd7b5a0b0,1,46775581049056,-24,-416,-28,-12,-24,371452356936,0,-296,-12,46775581049048,-88,371452356936,-96,371452356936,-112,424,-40,24,28,-40,-16,-4136,-8,24,-24,32,-40,28,56,24,64
90,0x55730dd0f1cc,R,0x7ffdd7b5a258,1,424,400,8,464,424,400,371452357360,352,128,412,46775581049456,336,24,328,371452357360,320,-46775581049480,-464,-400,-384,-400,-440,-4560,-456,-392,-448,-392,-376,-396,-4560,-400,-392
93,0x55730dd0f1d2,W,0x7ffdd7b5a088,1,-464,-64,46775581049016,0,-40,-68,-52,-112,-336,-40,-336,-128,46775581049008,-136,-52,-144,-46775581049016,68,0,80,64,32,64,8,72,0,72,96,68,104,64,-6136
