Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_2_last_read_mean,Delta_with_2_last_read_std,Delta_with_2_last_read_median,Delta_with_2_last_read_unique,Delta_with_2_last_read_zeros_frac,Delta_with_2_last_read_entropy,Delta_with_2_last_read_mode,Delta_with_2_last_read_mode_count,Delta_with_2_last_read_ac_first_peak,Delta_with_2_last_read_fft_dom_bin,Delta_with_2_last_read_fft_dom_power,Delta_with_3_last_read_mean,Delta_with_3_last_read_std,Delta_with_3_last_read_median,Delta_with_3_last_read_unique,Delta_with_3_last_read_zeros_frac,Delta_with_3_last_read_entropy,Delta_with_3_last_read_mode,Delta_with_3_last_read_mode_count,Delta_with_3_last_read_ac_first_peak,Delta_with_3_last_read_fft_dom_bin,Delta_with_3_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,Delta_with_2_last_write_mean,Delta_with_2_last_write_std,Delta_with_2_last_write_median,Delta_with_2_last_write_unique,Delta_with_2_last_write_zeros_frac,Delta_with_2_last_write_entropy,Delta_with_2_last_write_mode,Delta_with_2_last_write_mode_count,Delta_with_2_last_write_ac_first_peak,Delta_with_2_last_write_fft_dom_bin,Delta_with_2_last_write_fft_dom_power,Delta_with_3_last_write_mean,Delta_with_3_last_write_std,Delta_with_3_last_write_median,Delta_with_3_last_write_unique,Delta_with_3_last_write_zeros_frac,Delta_with_3_last_write_entropy,Delta_with_3_last_write_mode,Delta_with_3_last_write_mode_count,Delta_with_3_last_write_ac_first_peak,Delta_with_3_last_write_fft_dom_bin,Delta_with_3_last_write_fft_dom_power,start,length,Target,Fine_grained_Target
1.0075788786410949,11.548543590508627,0.0,50,0.11,2.862000056283663,1.6094379124341005,14,13,16,230.67154290103807,-1.1448493364718388,10.158801103100863,-1.6094379124341005,49,0.15,2.5669583540196865,0.0,15,0,20,214.74966912192164,5.571970871009105,15.65233744388992,1.6094379124341005,50,0.12,2.467154893581773,0.0,12,5,4,487.9790786452459,-1.806259592660548,7.377781453400244,-1.6094379124341005,38,0.2,2.7181944047609075,0.0,20,5,1,154.65637723221178,-0.1327237913628714,7.994028553291908,1.6094379124341005,45,0.16,1.968606323917285,0.0,16,2,1,238.244771752186,-1.6391679224397,6.885798229510889,0.0,49,0.22,2.276038429741996,0.0,22,5,1,156.46508318925558,0,100,4,1
-0.3921592282573341,2.7471776854066894,0.0,17,0.18,2.5440450045190146,1.6094379124341005,29,10,50,138.85140603912745,-0.1912114543811987,2.570171868456314,0.0,17,0.28,2.258246290629528,-1.6094379124341005,29,5,20,138.67588601244253,-0.6151072598676678,2.9261243994042165,0.0,22,0.19,2.477958217478205,1.6094379124341005,20,2,10,118.2042002865746,0.3549240069835429,3.51519091771358,0.0,23,0.31,2.204181917540973,0.0,31,5,20,199.2014492354654,3.882939415894354,3.123919465209513,6.115892125483034,27,0.2,1.6397825053440265,0.0,20,10,10,134.4066984663884,0.4469587460112434,3.5288551499819976,0.0,29,0.35,2.428080217074012,0.0,35,10,20,136.7565405978974,50,100,4,1
-0.5071582014035994,2.7238971728070456,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,152.83472961837157,-0.4067278640436591,2.513457888269808,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,147.69436759787175,-1.0177527487936573,2.757631604283159,-0.8047189562170501,16,0.2,2.521928094965731,-3.49650756146648,20,2,10,136.93608331094416,0.4182635244496328,3.635904901274323,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,210.96698180347585,4.436707281156802,2.5870809316666903,6.07993319509559,22,0.2,1.156779649650473,0.0,20,10,10,125.07001645659288,0.637977958311808,3.536222774359771,0.0,25,0.4,2.1219280950069144,0.0,40,10,10,153.852354969157,100,100,4,1
-0.5025351828266911,2.714436520651459,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,152.3724277606807,-0.4024602611544106,2.5036846501137298,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,147.27877610732443,-1.013129730216749,2.7491458414782564,-0.8047189562170501,16,0.2,2.521928094965731,-3.49650756146648,20,2,10,136.80896468598357,0.4136828956566921,3.613385052893929,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,209.98262632529523,4.404827172591559,2.566503012415219,6.0330862217988015,22,0.2,1.156779649650473,0.0,20,10,10,124.11978439638376,0.6333965585567117,3.513349595370642,0.0,25,0.4,2.1219280950069144,0.0,40,10,10,152.66636537493193,150,100,4,1
-0.4976878639404099,2.704557820671232,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,151.88769587205263,-0.3980022586366339,2.493504768501775,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,146.84471137069627,-1.0082824113304678,2.7402956533210627,-0.8047189562170501,16,0.2,2.521928094965731,-3.49650756146648,20,2,10,136.67723088599155,0.4088821629661804,3.5898136733854624,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,208.9509715987332,4.371423213675352,2.544948398555065,5.983936280687191,22,0.2,1.156779649650473,0.0,20,10,10,123.12530516254242,0.6285949381065318,3.4894037735821177,0.0,25,0.4,2.1219280950069144,0.0,40,10,10,151.42356010650016,200,100,4,1
-0.4925933450229099,2.6942210443049768,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,151.3782439803026,-0.3933360576714657,2.4828820391601463,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,146.39045041678395,-1.0031878924129678,2.731046825851561,-0.8047189562170501,16,0.2,2.521928094965731,-3.49650756146648,20,2,10,136.54049676877136,0.4038390828375544,3.5650867759718343,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,207.8672375986428,4.336342124834552,2.5223195948669206,5.932245187448011,22,0.2,1.156779649650473,0.0,20,10,10,122.08224439073248,0.6235508285559586,3.4642789038570574,0.0,25,0.4,2.1219280950069144,0.0,40,10,10,150.11820835410364,250,100,4,1
-0.4872250264080133,2.683380024838616,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,150.84141211881297,-0.3884412386810305,2.4717751368030467,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,145.91401701598417,-0.9978195737980714,2.7213599827196364,-0.8047189562170501,16,0.2,2.521928094965731,-3.49650756146648,20,2,10,136.39832467507665,0.3985278562599818,3.539084064972834,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,206.7258802475092,4.299406225072151,2.4985037271881883,5.877735781779639,22,0.2,1.156779649650473,0.0,20,10,10,120.9855961533978,0.6182383990351996,3.4378518487703387,0.0,25,0.4,2.1219280950069144,0.0,40,10,10,148.74366449912324,300,100,4,1
-0.4815517649167121,2.67198112079515,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,150.27408596968283,-0.3832942196593503,2.460136593672915,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,145.41312941050353,-0.99214631230677,2.7111894770556684,-0.8047189562170501,16,0.2,2.521928094965731,-3.49650756146648,20,2,10,136.25021417636768,0.3929183273086439,3.5116653242543774,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,205.5204191893672,4.260407950067549,2.4733691264682527,5.820082930352362,22,0.2,1.156779649650473,0.0,20,10,10,119.82953623342613,0.6126274522624899,3.409979024371604,0.0,25,0.4,2.1219280950069144,0.0,40,10,20,147.4961028377882,350,100,4,1
-0.4755367749644423,2.6599614915050376,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,149.67258697445584,-0.3778675667557589,2.4479115084636645,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,144.88513380493774,-0.9861313223545004,2.7004819660656603,-0.8047189562170501,16,0.2,2.521928094965731,-3.49650756146648,20,2,10,136.09558914932498,0.3869749420480858,3.4826657441918045,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,204.24321406356336,4.21910273527245,2.446760908313463,5.75890177387728,22,0.2,1.156779649650473,0.0,20,10,10,118.60723287418828,0.6066823798305151,3.3804915917753604,0.0,25,0.4,2.1219280950069144,0.0,40,10,20,146.33854674567328,400,100,4,1
-0.4691361754668252,2.647246840562352,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,149.03252702469413,-0.3721291058908609,2.4350358950291344,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,144.32691868621,-0.979730722856883,2.689174551796616,-0.8047189562170501,16,0.2,2.521928094965731,-3.49650756146648,20,2,10,135.93378128443996,0.3806553761668402,3.4518897882850714,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,202.8851695906229,4.175199640031831,2.418495171373546,5.6937321388027,22,0.2,1.156779649650473,0.0,20,10,10,117.31059925188973,0.6003607845063808,3.3491891425076155,0.0,25,0.4,2.1219280950069144,0.0,40,10,20,145.1102824535635,450,100,4,1
-0.4622970358192401,2.633748415704176,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,148.34861305993564,-0.3660407621652732,2.421434542492011,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,143.73480292412916,-0.972891583209298,2.677192317935568,-0.8047189562170501,16,0.2,2.521928094965731,-3.49650756146648,20,2,10,135.764008764646,0.3739086960048562,3.419103013525308,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,201.4353403867111,4.128348791187666,2.3883512622096448,5.6240175061873385,22,0.2,1.156779649650473,0.0,20,10,10,115.929964630647,0.5936116332052253,3.3158312718685914,0.0,25,0.4,2.1219280950069144,0.0,40,10,20,143.80201318209004,500,100,4,1
-0.4549546978892915,2.619358947994233,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,147.61437926694077,-0.3595570202550398,2.4070182013507733,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,143.10438737667553,-0.9655492452793496,2.664445008599478,-0.8047189562170501,16,0.2,2.521928094965731,-3.49650756146648,20,2,10,135.58534828978168,0.3666728482659349,3.3840209638452503,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,199.880391516084,4.0781242524301735,2.356061278258902,5.54907608489522,22,0.2,1.156779649650473,0.0,20,10,10,114.4536297345858,0.586372734218795,3.280126129094749,0.0,25,0.4,2.1219280950069144,0.0,40,10,20,142.4024675577916,550,100,4,1
-0.447029025465852,2.603947042175593,0.0,16,0.2,2.646439344711818,1.6094379124341005,30,4,50,146.82181202459685,-0.3526228465711557,2.391679822128756,0.0,14,0.3,2.1709505945736582,-1.6094379124341005,30,5,20,142.43035468641233,-0.95762357285591,2.650822459938775,-0.8047189562170501,16,0.2,2.721928094927147,-3.49650756146648,20,2,10,135.39669775795153,0.3588711603830742,3.3462937780532704,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,198.2038464381557,4.024000153971768,2.3212955348681152,5.468060141135132,22,0.2,1.156779649650473,0.0,20,10,10,112.86725344113238,0.578567217639354,3.241714537338181,0.0,25,0.4,2.1219280950069144,0.0,40,10,20,140.8977948282874,600,100,4,1
