mean,std,median,unique,zeros_frac,entropy,mode,mode_count,ac_first_peak,fft_dom_bin,fft_dom_power,w_mean,w_std,start,length
-0.8763922059553124,4.39042543119797,0.0,153,0.366,2.5861107180462115,0.0,366,8,250,1710.0129646322387,0.9911801580228717,5.227780969153179,0,1000
-0.9778194046568526,3.1515804082687984,0.0,130,0.375,2.405639062931751,0.0,375,4,250,1692.6176997351713,1.1789991437111151,4.814672689982347,250,1000
-0.9646359015722051,3.1230750568994696,0.0,130,0.375,2.405639062931751,0.0,375,4,250,1680.3073497646135,1.1658156406264677,4.753796073852075,500,1000
-0.9493589769855865,3.090226273588823,0.0,130,0.375,2.435925586493853,0.0,375,4,250,1666.0589389462643,1.1510460988636042,4.684065057563101,750,1000
-0.9324830001836564,3.0541817739079478,0.0,130,0.375,2.4799664808677324,0.0,375,4,250,1650.3405220848686,1.1336627392379188,4.605735975236137,1000,1000
-0.9128774854653593,3.01265302799917,0.0,130,0.375,2.5050190977777795,0.0,375,4,250,1632.108820717262,1.1140572245196216,4.515804438973612,1250,1000
-0.8894338747519012,2.9635357099270134,0.0,130,0.375,2.521713449605911,0.0,375,4,250,1610.3503469229224,1.0906136138061635,4.408720225745652,1500,1000
-0.8590454927049909,2.9008937808630173,0.0,130,0.375,2.5633831820258597,0.0,375,4,250,1582.217943329074,1.061306805627871,4.272361230386154,1750,1000
-0.8188474948969537,2.82034879840786,0.0,130,0.375,2.6169846838925497,0.0,375,4,250,1545.135445615559,1.0200272339512162,4.091396174235467,2000,1000
-0.7411405977746112,2.7397973316041946,0.0,137,0.372,2.718135563775289,0.0,372,4,250,1471.854281153767,0.9268300057860119,3.8128275096249995,2250,1000
-0.6282627537490576,3.1123649871875987,0.0,160,0.363,3.075814820844356,0.0,363,9,250,1067.2833977822165,0.4683113492375645,3.5929894523884562,2500,1000
-0.5196968208720216,3.4637075945882465,0.0,184,0.353,3.1051749672297086,0.0,353,3,333,1105.0401740412108,0.015824395052461682,3.3502869359965617,2750,1000
-0.4310088226210873,3.801317787170955,0.0,209,0.341,2.9929175899139575,0.0,341,3,333,1536.5145099921028,-0.41923916565984326,3.1226329380595965,3000,1000
-0.38655030321470957,4.111334763729027,0.0,227,0.334,2.6405460851486677,0.0,334,3,333,1846.6132256492006,-0.783835602787177,3.012070981438619,3250,1000
-0.3941903806281969,4.082858124542455,0.0,228,0.333,2.642126732494614,0.0,333,3,333,1837.3141901532883,-0.7840125243498924,2.9975341725133617,3500,1000
-0.38315190146294303,4.038673487366293,0.0,227,0.333,2.6421267324946136,0.0,333,3,333,1823.4260920523457,-0.7630230513033482,2.967854501467963,3750,1000
-0.38649817672003256,3.993513631233293,0.0,227,0.334,2.6405460851100027,0.0,334,3,333,1804.4140556634186,-0.7547095030313393,2.938870466610555,4000,1000
-0.3880813414918166,3.9453637846413736,0.0,227,0.333,2.7322536349255064,0.0,333,3,333,1786.06310457314,-0.7436423415727014,2.9093212820508314,4250,1000
-0.3787822091112373,3.898987940555829,0.0,228,0.333,2.7819224223346493,0.0,333,3,333,1770.0593709694292,-0.7260738100546359,2.8768529655429615,4500,1000
-0.3894391578350484,3.831498109631311,0.0,227,0.333,2.8230186334304075,0.0,333,3,333,1740.701494541175,-0.7117726043630661,2.8393456235608494,4750,1000
-0.3885285307701993,3.7580061944090946,0.0,227,0.333,2.8459884074598594,0.0,333,3,333,1717.144135791688,-0.6945216680952715,2.7952760888533756,5000,1000
-0.38623393686692986,3.6688778134904,0.0,227,0.334,2.9171469035644564,0.0,334,3,333,1680.9122280134911,-0.6700764288536075,2.7412900082770704,5250,1000
-0.3860598643997967,3.554836406145782,0.0,227,0.334,2.979281663100764,0.0,334,3,333,1634.566349574932,-0.6356962839695034,2.6733191679089634,5500,1000
-0.390320202939051,3.399968396381819,0.0,228,0.333,3.112381364184245,0.0,333,3,333,1571.9548625620166,-0.5973274901940695,2.5813505458720085,5750,1000
