mean,std,median,unique,zeros_frac,entropy,mode,mode_count,ac_first_peak,fft_dom_bin,fft_dom_power,w_mean,w_std,start,length
-0.7651352409606574,4.108343914838863,0.0,161,0.556,2.1187099762960075,0.0,556,7,143,1347.010841247907,1.1256634318606502,4.4728578093177065,0,1000
-0.9516698648362539,2.901555278773251,0.0,146,0.571,1.8581948587944928,0.0,571,7,143,1301.2065832264727,1.4119691077924068,4.309548516271693,250,1000
-0.9996147319613665,2.994232411911446,0.0,146,0.571,1.7915009793011178,0.0,571,7,143,1346.8996971934587,1.4513610550436065,4.506507680705967,500,1000
-1.0303420820026095,3.061048045711809,0.0,146,0.572,1.761168083513466,0.0,572,7,143,1376.220502415541,1.4938602007836304,4.656833096726106,750,1000
-1.061330765397277,3.117630464284274,0.0,146,0.571,1.7282024507432483,0.0,571,7,143,1406.0423118313279,1.52163000835343,4.776456815164492,1000,1000
-1.0844140759005272,3.164629040236318,0.0,146,0.571,1.6653543816495062,0.0,571,7,143,1428.218703705817,1.5368651657704804,4.872444353663577,1250,1000
-1.0962462605710093,3.198068138694696,0.0,145,0.572,1.6633505872941392,0.0,572,7,143,1439.8702523807115,1.5714281443065974,4.951900302856747,1500,1000
-1.1242976660079393,3.2373222325935576,0.0,146,0.572,1.6633505872941392,0.0,572,7,143,1461.3290297990368,1.5781591573143556,5.035355688415617,1750,1000
-0.9735665450274973,3.2146886508970893,0.0,167,0.536,2.0675779236855982,0.0,536,7,143,1232.9397653364085,1.2891080418373526,4.776892795425703,2000,1000
-0.7372682426535968,3.248671328158466,0.0,194,0.488,2.5948392154250186,0.0,488,7,286,876.2344824490563,0.8196752356025957,4.310944155568869,2250,1000
-0.5119667907662878,3.325568619495261,0.0,221,0.439,2.763699904405979,0.0,439,8,250,1129.1544859433895,0.31389221283400087,3.7453019927137015,2500,1000
-0.27057995540120666,3.4166031705528463,0.0,247,0.389,2.9133570342714066,0.0,389,3,250,1594.9269324608524,-0.19733445415001846,2.9699465309634614,2750,1000
-0.20207768366949627,3.6121484968625657,0.0,254,0.375,2.8087346275257397,0.0,375,3,250,1825.57294596364,-0.42571337718519875,2.7389424443831176,3000,1000
-0.20059547303876013,3.769790004676262,0.0,254,0.375,2.693750888634326,0.0,375,3,250,1889.1736982815548,-0.47002021522132326,2.8344661854741022,3250,1000
-0.2007356685647343,3.8823400419740532,0.0,254,0.375,2.624725620237946,0.0,375,3,250,1933.5170848118169,-0.501538735571464,2.9043131271323834,3500,1000
-0.2008193669494264,3.9718779974424945,0.0,254,0.375,2.5778265144361034,0.0,375,3,250,1968.418022723592,-0.526328477454924,2.960017296573295,3750,1000
-0.2014829959832267,4.047605956396986,0.0,254,0.375,2.516382152037755,0.0,375,3,250,1997.7202703804612,-0.5474575151493574,3.0079293263342706,4000,1000
-0.20091761779744605,4.1125880650479365,0.0,254,0.375,2.405639063126252,0.0,375,3,250,2022.7806680551457,-0.5649196788496279,3.0477885575855153,4250,1000
-0.20094831851774075,4.168646080112071,0.0,254,0.375,2.405639063126252,0.0,375,3,250,2044.3063578040578,-0.5801945415409991,3.0828309572428703,4500,1000
-0.20097249021423141,4.218643716145115,0.0,254,0.375,2.405639063165152,0.0,375,3,250,2063.4509572394577,-0.5937774034716344,3.1141194824393352,4750,1000
-0.20136715671987798,4.264459543753454,0.0,254,0.375,2.405639063165152,0.0,375,3,250,2080.9418982366456,-0.6063855300971546,3.1432639165171197,5000,1000
