Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x5645e989c0e9,R,0x7fff89fce4b0,1,,,,,,,,,,,,,,,,,-45877237576920,-8,-45877237576904,-24,-104,-324,-324,-336,-336,-304,-45877237576936,-344,24,-308,-304,-344
9,0x5645e989c0f1,W,0x7fff89fce4a8,1,-8,,,,,,,,,,,,,,,,-45877237576912,-8,-45877237576896,-264,-96,-316,-316,-300,24,-296,-328,-336,-45877237576928,-300,-296,-296
11,0x5645e989c0f2,W,0x7fff89fce4a0,1,-16,-8,-16,,,,,,,,,,,,,,-45877237576904,-8,-88,-256,-88,-320,-320,-292,-45877237576920,-288,40,-328,-45877237576920,-328,-288,-276
16,0x5645e989c0ff,R,0x5645e989efd8,1,-45877237576920,-45877237576904,-45877237576920,-45877237576912,-45877237576920,,,,,,,,,,,,16,45877237576896,45877237576816,45877237576596,45877237576596,45877237576584,45877237576936,45877237576612,45877237576584,45877237576616,45877237576944,45877237576612,-16,45877237576616,45877237576616,45877237576576
17,0x5645e989c0ff,W,0x7fff89fce498,1,45877237576896,-8,-24,-16,-24,-16,-24,,,,,,,,,,-45877237576880,-248,-80,-300,-312,-312,-45877237576912,-284,-312,-320,48,-320,-45877237576912,-268,-280,-256
21,0x5645e989c008,R,0x5645e989efe8,1,16,-45877237576880,-45877237576904,-45877237576896,-45877237576904,-45877237576888,-45877237576904,-45877237576896,-45877237576904,,,,,,,,45877237576800,45877237576632,45877237576580,45877237576580,45877237576920,45877237576568,-32,45877237576600,45877237576568,45877237576596,45877237576928,45877237576600,-32,45877237576560,45877237576600,45877237576604
26,0x5645e989c01a,R,0x7fff89fce448,1,45877237576800,-80,-104,-88,45877237576816,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-232,-220,120,-204,-45877237576832,-240,-232,-240,128,-188,-45877237576832,-176,-188,-196
39,0x5645e989c178,R,0x7fff89fce448,1,0,-80,45877237576816,-88,45877237576816,-96,45877237576816,-88,-104,-88,-104,-96,-104,,,,-220,-168,-232,-232,120,-200,-45877237576832,-204,-232,-200,128,-240,-200,-176,-45877237576840,-196
42,0x5645e989c1cd,W,0x7fff89fce3a0,1,-168,-248,45877237576632,-256,-272,-264,45877237576648,-248,45877237576648,-256,-272,-256,-272,-264,-272,,-52,-52,-64,-36,288,-72,-45877237576664,-72,-64,-20,-45877237576664,-72,-20,-8,-8,-28
46,0x5645e989c1d5,W,0x7fff89fce36c,1,-220,-52,-220,-308,45877237576596,-316,45877237576580,-300,45877237576596,-300,45877237576596,-308,-324,-308,-324,-316,0,-12,-12,20,340,16,-45877237576612,20,348,32,20,-20,-45877237576620,44,44,-45876794478796
