Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,start,length,Target
0.8704525700618789,11.823589730578108,0.0,52,0.13,2.984530933958303,0.0,13,13,15,244.0345531471234,-1.999998693193951,7.918985845932625,-1.6094379124341005,39,0.18,3.028496372268923,0.0,18,5,20,169.98756968767012,0,100,4
-0.5229288084865514,3.776243083991633,0.0,19,0.19,2.549968979988141,1.6094379124341005,28,10,50,166.19669648975523,0.4969424503074219,5.192907572469033,0.0,26,0.29,2.290037566858848,0.0,29,5,20,245.98302368208024,50,100,4
-0.81523355852043,3.422806829947388,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.6422653300546,0.7254808715246988,5.191142964662149,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.9866001502972,100,100,4
-0.8150259385096923,3.422299825379228,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.62150332898088,0.7252733376904683,5.190071643208155,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.9420020364922,150,100,4
-0.8148178865406631,3.4217918043511264,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.60069813207792,0.7250653722568297,5.18899811335731,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.8973111738936,200,100,4
-0.8146094008121928,3.4212827627219777,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.5798495592309,0.72485697342488,5.187922365958104,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.8525271759252,250,100,4
-0.8144004795118432,3.420772696325173,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.558957429196,0.7246481393844466,5.186844391801951,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.807649653589,300,100,4
-0.8141911208157928,3.4202616009683893,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.53802155959093,0.7244388683139918,5.185764181622712,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.7626782154448,350,100,4
-0.6930588489636469,3.341555792239607,0.0,16,0.2,2.458588903606928,1.6094379124341005,29,10,49,107.0031588644497,0.6267513517561024,4.956776309171113,0.0,23,0.31,2.2041819175800743,0.0,31,5,21,157.59046660706585,400,100,4
-0.6928696736842506,3.34107637886937,0.0,16,0.2,2.458588903606928,1.6094379124341005,29,10,50,135.43833667757758,0.6265622559707135,4.955751657218498,0.0,23,0.31,2.2041819175800743,0.0,31,5,20,207.97543466026423,450,100,4
-0.8136025738552428,3.418825023896296,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.4791668635359,0.7238505686702064,5.1827276178862,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.6362551941156,500,100,4
-0.813391536218679,3.4183099797978023,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.4580630998795,0.7236396200699943,5.181638825282759,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.5909232622876,550,100,4
-0.8131800522705656,3.417793886251463,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.43691470506812,0.7234282255351481,5.180547751362291,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.5454955010904,600,100,4
-0.8129681201191411,3.417276738911549,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.4157214899257,0.7232163831763038,5.179454386515205,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.4999715045079,650,100,4
-0.8127557378605892,3.4167585334051283,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.3944832640705,0.7230040910920646,5.178358721070981,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.4543508639388,700,100,4
-0.8125429035789387,3.416239265331831,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.37319983590547,0.7227913473688986,5.177260745297656,0.0,24,0.3,2.170950594612793,0.0,30,5,20,276.4086331681734,750,100,4
-0.7990972530944301,3.405569240332381,0.0,17,0.2,2.4502458858374188,1.6094379124341005,29,10,49,96.11027300107772,0.5742063044286614,5.111442476754356,0.0,25,0.29,2.210449414138192,0.0,29,5,30,152.1208749649601,800,100,4
-0.798883508969523,3.4050454489842856,0.0,17,0.2,2.4502458858374188,1.6094379124341005,29,10,50,113.17780639970272,0.5740140580466725,5.110355575532092,0.0,25,0.29,2.210449414138192,0.0,29,5,20,174.37689334255262,850,100,4
-0.8119016692511508,3.414675041290673,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.3090764031267,0.7221932457854321,5.174022597696937,0.0,25,0.3,2.170950594612793,0.0,30,5,20,276.27511932607854,900,100,4
-0.8116870074706148,3.414151478389426,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,183.28761022507308,0.7219787681658373,5.172915430738677,0.0,25,0.3,2.170950594612793,0.0,30,5,20,276.22901831968034,950,100,4
