mean,std,median,unique,zeros_frac,entropy,mode,mode_count,ac_first_peak,fft_dom_bin,fft_dom_power,w_mean,w_std,start,length
0.3520429915119692,5.073386129609901,0.0,139,0.352,2.802844995792045,0.0,176,8,125,637.643571910808,-0.6063204278208791,3.5268848088732523,0,500
0.20079502522779924,3.0975542035662245,0.0,128,0.378,2.7478563588981753,0.0,189,8,125,644.5038502067752,-0.36876197088860535,2.414467013113474,250,500
0.19826363815201528,3.2784134142534125,0.0,128,0.376,2.4442871670458586,0.0,188,8,125,683.9536350993023,-0.4128800503254638,2.5219606286863936,500,500
0.19857941973197535,3.42972261148578,0.0,130,0.372,2.4103477831943767,0.0,186,8,125,717.6031804498523,-0.46700967316739034,2.6112542703009476,750,500
0.20199508077670217,3.5264318466706066,0.0,130,0.374,2.40719326122954,0.0,187,8,125,732.2740964128423,-0.4994801757470106,2.670400348666786,1000,500
0.2021385044385352,3.5855086529040006,0.0,128,0.378,2.4008380090850148,0.0,189,8,125,738.976552041328,-0.5025021342650158,2.70874702264223,1250,500
0.1990112582887427,3.657795980136124,0.0,128,0.376,2.4040233089087284,0.0,188,8,125,756.7559000634708,-0.5160047407737722,2.7525328696910605,1500,500
0.19907315447160476,3.7446150291899647,0.0,130,0.372,2.4103477831943767,0.0,186,8,125,778.0867451988903,-0.552709809356468,2.803248845901304,1750,500
0.20234643282336492,3.7954392205047696,0.0,130,0.374,2.4071932612684384,0.0,187,8,125,783.6786802991265,-0.5723481387708172,2.8347524417294903,2000,500
0.20239706685111367,3.817888549509672,0.0,128,0.378,2.400838009162825,0.0,189,8,125,782.9323984282946,-0.5648275325838711,2.851232408591143,2250,500
0.19921329011856015,3.8642020702040876,0.0,128,0.376,2.40402330894763,0.0,188,8,125,795.7394561581889,-0.5712744293335782,2.879490750944418,2500,500
0.204370311030847,4.684235546335256,0.0,133,0.366,2.4932119863061106,0.0,183,8,125,796.6128675808621,-0.595843855186597,3.557957485174157,2750,500
