Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x55d4329c70a9,R,0x7fff5c61efe0,1,,,,,,,,,,,,,,,,,-46364872757256,-8,-46364872757240,-24,-104,-324,-324,-336,-336,-344,-46364872757264,-316,-316,-304,-280,-296
9,0x55d4329c70b1,W,0x7fff5c61efd8,1,-8,,,,,,,,,,,,,,,,-46364872757248,-8,-46364872757232,-264,-96,-316,-316,-308,24,-336,-304,-308,-46364872757264,-296,-272,-304
11,0x55d4329c70b2,W,0x7fff5c61efd0,1,-16,-8,-16,,,,,,,,,,,,,,-46364872757240,-8,-88,-256,-88,-320,-320,-300,-46364872757248,-328,-300,-300,-46364872757256,-280,-264,-328
16,0x55d4329c70bf,R,0x55d4329c9fd8,1,-46364872757256,-46364872757240,-46364872757256,-46364872757248,-46364872757256,,,,,,,,,,,,16,46364872757232,46364872757152,46364872756932,46364872756932,46364872756920,46364872757272,46364872756940,46364872756944,46364872756912,46364872756940,46364872756952,-16,46364872756944,46364872756976,46364872756976
17,0x55d4329c70bf,W,0x7fff5c61efc8,1,46364872757232,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46364872757216,-248,-80,-300,-312,-312,-46364872757240,-292,-288,-292,-292,-272,-46364872757248,-320,-256,-46364561521960
21,0x55d4329c7008,R,0x55d4329c9fe8,1,16,-46364872757216,-46364872757240,-46364872757232,-46364872757240,-46364872757224,-46364872757240,-46364872757232,-46364872757240,,,,,,,,46364872757136,46364872756968,46364872756916,46364872756916,46364872757256,46364872756904,-24,46364872756896,46364872756928,46364872756936,46364872756924,46364872756928,-32,46364872756960,46364872756928,311235256
26,0x55d4329c701a,R,0x7fff5c61ef78,1,46364872757136,-80,-104,-88,46364872757152,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-232,-220,120,-212,-46364872757160,-212,-208,-192,-212,-240,-176,-176,-176,-46364561521880
39,0x55d4329c7138,R,0x7fff5c61ef78,1,0,-80,46364872757152,-88,46364872757152,-96,46364872757152,-88,-104,-88,-104,-96,-104,,,,-220,-168,-232,-232,120,-240,-46364872757160,-200,-208,-208,-46364872757168,-240,-208,-176,-192,-46364561521880
42,0x55d4329c718d,W,0x7fff5c61eed0,1,-168,-248,46364872756968,-256,-272,-264,46364872756984,-248,46364872756984,-256,-272,-256,-272,-264,-272,,-52,-52,-64,-44,288,-44,-46364872756992,-24,-44,-40,-8,-72,-8,-8,-24,-46364561521704
46,0x55d4329c7195,W,0x7fff5c61ee9c,1,-220,-52,-220,-308,46364872756932,-316,46364872756916,-300,46364872756932,-300,46364872756932,-308,-324,-308,-324,-316,0,-12,-12,-20,340,20,12,28,-46364872756948,12,12,-20,44,-46364561521660,44,-46364561521652
