Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,start,length,Target
-1.5137533412682538,18.97162192445235,-2.381086967398878,35,0.17,2.5764207046818424,0.0,17,6,17,478.8210718222749,2.224175241826364,18.6332070121152,-0.8047189562170501,39,0.12,2.5196457240686594,-3.49650756146648,13,2,5,542.4768573318628,0,100,11
-4.426111910128917,17.361563464141234,-2.2213256282451583,21,0.23,2.629237654836313,0.0,23,6,50,680.5834020308862,6.210393194119552,20.03547633318433,0.0,31,0.11,1.8810329377807795,-3.49650756146648,17,2,50,694.3370046266737,50,100,11
-4.369711609553104,17.377664072116207,-2.2213256282451583,21,0.23,2.645104992549128,0.0,23,6,50,683.0045520680982,7.542110531809048,20.070117110707,0.0,32,0.1,1.8634536617538893,-3.49650756146648,16,2,50,694.0268476006202,100,100,11
-4.026708030107664,18.28902321104459,-2.2213256282451583,22,0.21,2.6606592822797865,0.0,21,6,50,711.6384791290177,6.661539383623532,20.138298952101703,0.0,33,0.11,1.8931620959649769,-3.49650756146648,17,2,50,726.1718677140252,150,100,11
-4.07647538850874,18.277413522155022,-2.2213256282451583,22,0.21,2.6447919445669723,0.0,21,6,50,709.8806233091524,5.386759367321138,20.0282875174358,0.0,31,0.12,1.912818774065216,-3.49650756146648,17,2,50,720.7882926012135,200,100,11
-3.5104297894635432,17.84692623865771,-1.6094379124341005,20,0.23,2.6289246068541576,0.0,23,6,50,646.2830482816996,5.972430738380968,19.86125768386908,0.0,31,0.12,1.8931620959649769,-3.49650756146648,16,2,6,681.3302772827564,250,100,11
-4.106099660240759,17.152824016296947,-1.6094379124341005,21,0.24,2.627105067638614,0.0,24,6,50,649.6503420139309,7.189372502858927,19.95198663840977,0.0,31,0.11,1.8642902997055488,-3.49650756146648,16,2,50,666.3663696852552,300,100,11
-4.684383013601494,17.579418454216334,-2.833213344056216,22,0.22,2.645104992549128,0.0,22,6,50,714.4716924729371,7.249138319022467,20.42073820139338,0.0,33,0.1,1.8797590525805887,-3.49650756146648,17,2,50,721.9974804439931,350,100,11
-4.08871314282367,18.276167255833,-2.833213344056216,22,0.21,2.6447919445669723,0.0,21,6,50,705.4379720525329,6.03219655454354,20.335677950122296,0.0,32,0.11,1.9085913805651609,-3.49650756146648,17,2,50,719.1788546886503,400,100,11
-3.831734135686464,18.05816992149557,-2.2213256282451583,21,0.22,2.6287314690959094,0.0,22,6,50,671.4204677810587,4.99345145061427,19.885305497240378,0.0,30,0.12,1.9059252053401856,-3.49650756146648,17,2,50,691.518376773389,450,100,11
-4.426111910126156,17.361563464136932,-2.2213256282451583,21,0.23,2.629237654836313,0.0,23,6,50,680.5834020306099,6.210393194114721,20.03547633317553,0.0,31,0.11,1.8810329377807795,-3.49650756146648,17,2,50,694.3370046263975,500,100,11
-4.369711609550169,17.37766407211163,-2.2213256282451583,21,0.23,2.645104992549128,0.0,23,6,50,683.0045520678048,7.542110531803697,20.070117110697915,0.0,32,0.1,1.8634536617538893,-3.49650756146648,16,2,50,694.0268476003266,550,100,11
-4.026708030104557,18.289023211039925,-2.2213256282451583,22,0.21,2.6606592822797865,0.0,21,6,50,711.638479128707,6.661539383618698,20.138298952092512,0.0,33,0.11,1.8931620959649769,-3.49650756146648,17,2,50,726.1718677137144,600,100,11
-4.076475388505806,18.277413522150635,-2.2213256282451583,22,0.21,2.6447919445669723,0.0,21,6,50,709.880623308859,5.386759367316822,20.028287517426925,0.0,31,0.12,1.912818774065216,-3.49650756146648,17,2,50,720.78829260092,650,100,11
-3.5104297894609533,17.846926238653655,-1.6094379124341005,20,0.23,2.6289246068541576,0.0,23,6,50,646.2830482814406,5.972430738376307,19.86125768386036,0.0,31,0.12,1.8931620959649769,-3.49650756146648,16,2,6,681.3302772824517,700,100,11
-4.106099660237998,17.15282401629254,-1.6094379124341005,21,0.24,2.627105067638614,0.0,24,6,50,649.6503420136545,7.189372502853749,19.951986638400754,0.0,31,0.11,1.8642902997055488,-3.49650756146648,16,2,50,666.3663696849788,750,100,11
-4.684383013598387,17.579418454211602,-2.833213344056216,22,0.22,2.645104992549128,0.0,22,6,50,714.4716924726265,7.24913831901729,20.420738201384044,0.0,33,0.1,1.8797590525805887,-3.49650756146648,17,2,50,721.9974804436825,800,100,11
-4.088713142820735,18.276167255828604,-2.833213344056216,22,0.21,2.6447919445669723,0.0,21,6,50,705.4379720522395,6.032196554538878,20.33567795011326,0.0,32,0.11,1.9085913805651609,-3.49650756146648,17,2,50,719.1788546883569,850,100,11
-3.831734135683702,18.05816992149134,-2.2213256282451583,21,0.22,2.6287314690959094,0.0,22,6,50,671.4204677807827,4.993451450610127,19.885305497231588,0.0,30,0.12,1.9059252053401856,-3.49650756146648,17,2,50,691.5183767731128,900,100,11
-4.426111910123393,17.36156346413263,-2.2213256282451583,21,0.23,2.629237654836313,0.0,23,6,50,680.5834020303338,6.210393194109887,20.035476333166727,0.0,31,0.11,1.8810329377807795,-3.49650756146648,17,2,50,694.3370046261213,950,100,11
-4.369711609547236,17.377664072107056,-2.2213256282451583,21,0.23,2.645104992549128,0.0,23,6,50,683.0045520675113,7.542110531798345,20.070117110688827,0.0,32,0.1,1.8634536617538893,-3.49650756146648,16,2,50,694.0268476000331,1000,100,11
-4.0267080301014495,18.289023211035268,-2.2213256282451583,22,0.21,2.6606592822797865,0.0,21,6,50,711.6384791283963,6.661539383613867,20.13829895208332,0.0,33,0.11,1.8931620959649769,-3.49650756146648,17,2,50,726.1718677134038,1050,100,11
